Cluster_category,date_ym,n,n_id,n_id_distinct
COVID-19 activity,2018-10,307885,307885,218955
COVID-19 activity,2018-11,178220,178220,125365
COVID-19 activity,2018-12,68945,68945,48035
COVID-19 activity,2019-01,42370,42370,29715
COVID-19 activity,2019-02,22400,22400,15680
COVID-19 activity,2019-03,13485,13485,9390
COVID-19 activity,2019-04,6455,6455,4415
COVID-19 activity,2019-05,5990,5990,4100
COVID-19 activity,2019-06,5620,5620,3865
COVID-19 activity,2019-07,6405,6405,4395
COVID-19 activity,2019-08,6410,6410,4355
COVID-19 activity,2019-09,38515,38515,26980
COVID-19 activity,2019-10,280010,280010,201515
COVID-19 activity,2019-11,255245,255245,183160
COVID-19 activity,2019-12,110260,110260,80290
COVID-19 activity,2020-01,72885,72885,53540
COVID-19 activity,2020-02,76065,76065,53725
COVID-19 activity,2020-03,621425,621425,408830
COVID-19 activity,2020-04,2596785,2596785,1486750
COVID-19 activity,2020-05,3121050,3121050,1995575
COVID-19 activity,2020-06,3213320,3213320,2086065
COVID-19 activity,2020-07,3675990,3675990,2420710
COVID-19 activity,2020-08,4103820,4103820,2745580
COVID-19 activity,2020-09,5508695,5508695,3532910
COVID-19 activity,2020-10,6898165,6898165,4258270
COVID-19 activity,2020-11,7318320,7318320,4429835
COVID-19 activity,2020-12,10199680,10199680,6064830
COVID-19 activity,2021-01,20797945,20797945,12400710
COVID-19 activity,2021-02,21697435,21697435,13200180
COVID-19 activity,2021-03,26914505,26914505,16252445
COVID-19 activity,2021-04,21767050,21767050,14536050
COVID-19 activity,2021-05,25663305,25663305,17612250
COVID-19 activity,2021-06,22499980,22499980,15148465
COVID-19 activity,2021-07,17332650,17332650,11276590
COVID-19 activity,2021-08,13606950,13606950,8913465
COVID-19 activity,2021-09,13242025,13242025,8690880
COVID-19 activity,2021-10,20124835,20124835,13230630
COVID-19 activity,2021-11,22187830,22187830,15301995
COVID-19 activity,2021-12,34662515,34662515,21899470
COVID-19 activity,2022-01,17665080,17665080,11072010
COVID-19 activity,2022-02,7652630,7652630,5065685
COVID-19 activity,2022-03,8433490,8433490,5498510
COVID-19 activity,2022-04,6971205,6971205,5134990
COVID-19 activity,2022-05,3698035,3698035,2905625
COVID-19 activity,2022-06,2608715,2608715,1976665
COVID-19 activity,2022-07,2818420,2818420,2034750
COVID-19 activity,2022-08,2078475,2078475,1550670
COVID-19 activity,2022-09,7676195,7676195,6289225
COVID-19 activity,2022-10,12043715,12043715,10037955
COVID-19 activity,2022-11,5735655,5735655,4742985
COVID-19 activity,2022-12,2253695,2253695,1722755
COVID-19 activity,2023-01,1475640,1475640,1085845
COVID-19 activity,2023-02,1077555,1077555,781660
COVID-19 activity,2023-03,1117110,1117110,775365
COVID-19 activity,2023-04,2903640,2903640,2406720
COVID-19 activity,2023-05,1114870,1114870,1035280
Declines contraindications and other exceptions,1990-01,10,10,10
Declines contraindications and other exceptions,1991-12,10,10,10
Declines contraindications and other exceptions,1992-01,10,10,10
Declines contraindications and other exceptions,1992-03,10,10,10
Declines contraindications and other exceptions,1992-11,10,10,10
Declines contraindications and other exceptions,1993-07,10,10,10
Declines contraindications and other exceptions,1994-04,10,10,10
Declines contraindications and other exceptions,1994-10,10,10,10
Declines contraindications and other exceptions,1994-12,10,10,10
Declines contraindications and other exceptions,1995-02,10,10,10
Declines contraindications and other exceptions,1995-04,10,10,10
Declines contraindications and other exceptions,1995-07,10,10,10
Declines contraindications and other exceptions,1996-12,10,10,10
Declines contraindications and other exceptions,1997-03,10,10,10
Declines contraindications and other exceptions,1997-05,10,10,10
Declines contraindications and other exceptions,1997-08,10,10,10
Declines contraindications and other exceptions,1997-09,10,10,10
Declines contraindications and other exceptions,1998-05,10,10,10
Declines contraindications and other exceptions,1998-08,10,10,10
Declines contraindications and other exceptions,1998-11,10,10,10
Declines contraindications and other exceptions,1999-01,10,10,10
Declines contraindications and other exceptions,1999-03,10,10,10
Declines contraindications and other exceptions,1999-07,10,10,10
Declines contraindications and other exceptions,1999-10,10,10,10
Declines contraindications and other exceptions,2000-01,10,10,10
Declines contraindications and other exceptions,2000-05,10,10,10
Declines contraindications and other exceptions,2000-06,10,10,10
Declines contraindications and other exceptions,2000-07,10,10,10
Declines contraindications and other exceptions,2001-01,10,10,10
Declines contraindications and other exceptions,2001-02,10,10,10
Declines contraindications and other exceptions,2001-03,10,10,10
Declines contraindications and other exceptions,2001-05,10,10,10
Declines contraindications and other exceptions,2001-07,10,10,10
Declines contraindications and other exceptions,2001-08,10,10,10
Declines contraindications and other exceptions,2002-01,10,10,10
Declines contraindications and other exceptions,2002-02,10,10,10
Declines contraindications and other exceptions,2002-03,10,10,10
Declines contraindications and other exceptions,2002-04,10,10,10
Declines contraindications and other exceptions,2002-06,10,10,10
Declines contraindications and other exceptions,2002-10,10,10,10
Declines contraindications and other exceptions,2003-01,10,10,10
Declines contraindications and other exceptions,2003-03,10,10,10
Declines contraindications and other exceptions,2003-06,10,10,10
Declines contraindications and other exceptions,2003-11,10,10,10
Declines contraindications and other exceptions,2003-12,10,10,10
Declines contraindications and other exceptions,2004-01,10,10,10
Declines contraindications and other exceptions,2004-02,10,10,10
Declines contraindications and other exceptions,2004-03,10,10,10
Declines contraindications and other exceptions,2004-04,10,10,10
Declines contraindications and other exceptions,2004-05,10,10,10
Declines contraindications and other exceptions,2004-06,10,10,10
Declines contraindications and other exceptions,2004-07,10,10,10
Declines contraindications and other exceptions,2004-08,10,10,10
Declines contraindications and other exceptions,2004-09,10,10,10
Declines contraindications and other exceptions,2004-10,10,10,10
Declines contraindications and other exceptions,2004-11,10,10,10
Declines contraindications and other exceptions,2004-12,15,15,10
Declines contraindications and other exceptions,2005-01,10,10,10
Declines contraindications and other exceptions,2005-02,10,10,10
Declines contraindications and other exceptions,2005-03,10,10,10
Declines contraindications and other exceptions,2005-04,10,10,10
Declines contraindications and other exceptions,2005-05,10,10,10
Declines contraindications and other exceptions,2005-06,10,10,10
Declines contraindications and other exceptions,2005-07,10,10,10
Declines contraindications and other exceptions,2005-08,10,10,10
Declines contraindications and other exceptions,2005-09,10,10,10
Declines contraindications and other exceptions,2005-10,10,10,10
Declines contraindications and other exceptions,2005-11,10,10,10
Declines contraindications and other exceptions,2005-12,10,10,10
Declines contraindications and other exceptions,2006-01,10,10,10
Declines contraindications and other exceptions,2006-02,10,10,10
Declines contraindications and other exceptions,2006-03,10,10,10
Declines contraindications and other exceptions,2006-04,10,10,10
Declines contraindications and other exceptions,2006-05,10,10,10
Declines contraindications and other exceptions,2006-06,10,10,10
Declines contraindications and other exceptions,2006-07,10,10,10
Declines contraindications and other exceptions,2006-08,10,10,10
Declines contraindications and other exceptions,2006-09,10,10,10
Declines contraindications and other exceptions,2006-10,10,10,10
Declines contraindications and other exceptions,2006-11,10,10,10
Declines contraindications and other exceptions,2006-12,10,10,10
Declines contraindications and other exceptions,2007-01,10,10,10
Declines contraindications and other exceptions,2007-02,10,10,10
Declines contraindications and other exceptions,2007-03,10,10,10
Declines contraindications and other exceptions,2007-04,10,10,10
Declines contraindications and other exceptions,2007-05,10,10,10
Declines contraindications and other exceptions,2007-06,10,10,10
Declines contraindications and other exceptions,2007-07,10,10,10
Declines contraindications and other exceptions,2007-08,10,10,10
Declines contraindications and other exceptions,2007-09,10,10,10
Declines contraindications and other exceptions,2007-10,10,10,10
Declines contraindications and other exceptions,2007-11,10,10,10
Declines contraindications and other exceptions,2008-01,10,10,10
Declines contraindications and other exceptions,2008-02,10,10,10
Declines contraindications and other exceptions,2008-03,10,10,10
Declines contraindications and other exceptions,2008-04,10,10,10
Declines contraindications and other exceptions,2008-05,10,10,10
Declines contraindications and other exceptions,2008-06,10,10,10
Declines contraindications and other exceptions,2008-07,10,10,10
Declines contraindications and other exceptions,2008-08,10,10,10
Declines contraindications and other exceptions,2008-09,10,10,10
Declines contraindications and other exceptions,2008-10,10,10,10
Declines contraindications and other exceptions,2008-11,10,10,10
Declines contraindications and other exceptions,2008-12,10,10,10
Declines contraindications and other exceptions,2009-01,10,10,10
Declines contraindications and other exceptions,2009-02,10,10,10
Declines contraindications and other exceptions,2009-03,10,10,10
Declines contraindications and other exceptions,2009-04,10,10,10
Declines contraindications and other exceptions,2009-05,10,10,10
Declines contraindications and other exceptions,2009-06,10,10,10
Declines contraindications and other exceptions,2009-07,10,10,10
Declines contraindications and other exceptions,2009-08,10,10,10
Declines contraindications and other exceptions,2009-09,10,10,10
Declines contraindications and other exceptions,2009-10,10,10,10
Declines contraindications and other exceptions,2009-11,10,10,10
Declines contraindications and other exceptions,2010-01,10,10,10
Declines contraindications and other exceptions,2010-02,10,10,10
Declines contraindications and other exceptions,2010-03,10,10,10
Declines contraindications and other exceptions,2010-04,10,10,10
Declines contraindications and other exceptions,2010-05,10,10,10
Declines contraindications and other exceptions,2010-06,10,10,10
Declines contraindications and other exceptions,2010-07,10,10,10
Declines contraindications and other exceptions,2010-08,10,10,10
Declines contraindications and other exceptions,2010-09,10,10,10
Declines contraindications and other exceptions,2010-10,10,10,10
Declines contraindications and other exceptions,2010-11,10,10,10
Declines contraindications and other exceptions,2010-12,10,10,10
Declines contraindications and other exceptions,2011-01,10,10,10
Declines contraindications and other exceptions,2011-02,10,10,10
Declines contraindications and other exceptions,2011-03,10,10,10
Declines contraindications and other exceptions,2011-04,10,10,10
Declines contraindications and other exceptions,2011-05,10,10,10
Declines contraindications and other exceptions,2011-06,10,10,10
Declines contraindications and other exceptions,2011-07,10,10,10
Declines contraindications and other exceptions,2011-08,10,10,10
Declines contraindications and other exceptions,2011-09,10,10,10
Declines contraindications and other exceptions,2011-10,10,10,10
Declines contraindications and other exceptions,2011-11,10,10,10
Declines contraindications and other exceptions,2011-12,10,10,10
Declines contraindications and other exceptions,2012-01,10,10,10
Declines contraindications and other exceptions,2012-02,10,10,10
Declines contraindications and other exceptions,2012-03,10,10,10
Declines contraindications and other exceptions,2012-04,10,10,10
Declines contraindications and other exceptions,2012-05,10,10,10
Declines contraindications and other exceptions,2012-06,10,10,10
Declines contraindications and other exceptions,2012-07,15,15,10
Declines contraindications and other exceptions,2012-08,10,10,10
Declines contraindications and other exceptions,2012-09,10,10,10
Declines contraindications and other exceptions,2012-10,30,30,15
Declines contraindications and other exceptions,2012-11,15,15,15
Declines contraindications and other exceptions,2012-12,25,25,20
Declines contraindications and other exceptions,2013-01,25,25,20
Declines contraindications and other exceptions,2013-02,15,15,15
Declines contraindications and other exceptions,2013-03,25,25,20
Declines contraindications and other exceptions,2013-04,35,35,20
Declines contraindications and other exceptions,2013-05,15,15,15
Declines contraindications and other exceptions,2013-06,25,25,15
Declines contraindications and other exceptions,2013-07,20,20,15
Declines contraindications and other exceptions,2013-08,15,15,10
Declines contraindications and other exceptions,2013-09,40,40,10
Declines contraindications and other exceptions,2013-10,15,15,15
Declines contraindications and other exceptions,2013-11,15,15,15
Declines contraindications and other exceptions,2013-12,15,15,10
Declines contraindications and other exceptions,2014-01,25,25,20
Declines contraindications and other exceptions,2014-02,15,15,15
Declines contraindications and other exceptions,2014-03,10,10,10
Declines contraindications and other exceptions,2014-04,10,10,10
Declines contraindications and other exceptions,2014-05,10,10,10
Declines contraindications and other exceptions,2014-06,15,15,15
Declines contraindications and other exceptions,2014-07,20,20,15
Declines contraindications and other exceptions,2014-08,15,15,10
Declines contraindications and other exceptions,2014-09,20,20,15
Declines contraindications and other exceptions,2014-10,25,25,20
Declines contraindications and other exceptions,2014-11,20,20,15
Declines contraindications and other exceptions,2014-12,20,20,20
Declines contraindications and other exceptions,2015-01,15,15,10
Declines contraindications and other exceptions,2015-02,20,20,15
Declines contraindications and other exceptions,2015-03,50,50,25
Declines contraindications and other exceptions,2015-04,15,15,15
Declines contraindications and other exceptions,2015-05,15,15,10
Declines contraindications and other exceptions,2015-06,15,15,15
Declines contraindications and other exceptions,2015-07,35,35,25
Declines contraindications and other exceptions,2015-08,25,25,15
Declines contraindications and other exceptions,2015-09,15,15,15
Declines contraindications and other exceptions,2015-10,20,20,20
Declines contraindications and other exceptions,2015-11,20,20,15
Declines contraindications and other exceptions,2015-12,10,10,10
Declines contraindications and other exceptions,2016-01,35,35,30
Declines contraindications and other exceptions,2016-02,25,25,20
Declines contraindications and other exceptions,2016-03,20,20,20
Declines contraindications and other exceptions,2016-04,10,10,10
Declines contraindications and other exceptions,2016-05,25,25,10
Declines contraindications and other exceptions,2016-06,25,25,20
Declines contraindications and other exceptions,2016-07,10,10,10
Declines contraindications and other exceptions,2016-08,35,35,15
Declines contraindications and other exceptions,2016-09,10,10,10
Declines contraindications and other exceptions,2016-10,40,40,15
Declines contraindications and other exceptions,2016-11,20,20,15
Declines contraindications and other exceptions,2016-12,10,10,10
Declines contraindications and other exceptions,2017-01,10,10,10
Declines contraindications and other exceptions,2017-02,20,20,15
Declines contraindications and other exceptions,2017-03,25,25,20
Declines contraindications and other exceptions,2017-04,10,10,10
Declines contraindications and other exceptions,2017-05,15,15,15
Declines contraindications and other exceptions,2017-06,25,25,15
