Cluster_category,date_ym,records_month,valid_idmonth,distinct_id,records_cluster,valid_idcluster,distinct_idcluster,pre_1990_n_pct,n_clusters
COVID-19 activity,1995-01,650,650,540,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1995-02,160,160,145,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1995-03,195,195,150,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1995-04,195,195,150,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1995-05,210,210,165,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1995-06,230,230,190,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1995-07,260,260,210,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1995-08,215,215,185,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1995-09,255,255,200,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1995-10,405,405,330,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1995-11,400,400,330,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1995-12,250,250,205,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-01,740,740,620,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-02,240,240,200,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-03,245,245,205,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-04,270,270,215,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-05,270,270,225,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-06,320,320,265,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-07,340,340,275,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-08,295,295,245,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-09,345,345,295,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-10,500,500,410,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-11,390,390,325,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1996-12,335,335,270,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-01,905,905,755,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-02,390,390,310,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-03,385,385,320,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-04,400,400,320,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-05,370,370,305,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-06,375,375,305,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-07,420,420,350,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-08,315,315,265,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-09,390,390,330,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-10,540,540,460,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-11,360,360,290,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1997-12,325,325,270,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-01,965,965,830,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-02,380,380,295,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-03,475,475,380,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-04,385,385,310,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-05,405,405,345,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-06,420,420,350,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-07,470,470,395,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-08,415,415,335,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-09,455,455,380,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-10,575,575,470,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-11,585,585,460,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1998-12,460,460,375,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-01,1025,1025,850,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-02,560,560,430,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-03,630,630,485,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-04,490,490,400,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-05,550,550,435,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-06,550,550,430,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-07,570,570,455,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-08,495,495,405,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-09,570,570,455,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-10,515,515,440,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-11,540,540,445,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1999-12,470,470,385,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-01,985,985,825,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-02,550,550,455,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-03,645,645,505,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-04,475,475,400,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-05,565,565,470,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-06,620,620,495,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-07,580,580,495,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-08,585,585,480,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-09,590,590,465,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-10,655,655,525,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-11,665,665,565,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2000-12,535,535,435,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-01,1135,1135,935,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-02,600,600,490,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-03,770,770,590,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-04,680,680,540,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-05,735,735,590,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-06,710,710,580,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-07,665,665,520,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-08,630,630,490,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-09,625,625,500,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-10,780,780,590,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-11,770,770,595,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2001-12,655,655,500,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-01,1210,1210,980,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-02,740,740,560,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-03,805,805,600,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-04,815,815,610,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-05,905,905,655,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-06,735,735,555,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-07,890,890,645,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-08,820,820,615,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-09,790,790,600,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-10,900,900,690,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-11,850,850,640,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2002-12,775,775,580,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-01,1345,1345,1020,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-02,895,895,665,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-03,915,915,680,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-04,800,800,590,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-05,850,850,640,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-06,865,865,655,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-07,930,930,685,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-08,725,725,555,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-09,900,900,705,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-10,1175,1175,865,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-11,940,940,750,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2003-12,935,935,745,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-01,1520,1520,1200,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-02,1065,1065,845,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-03,1200,1200,950,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-04,1050,1050,815,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-05,1035,1035,795,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-06,1160,1160,860,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-07,1095,1095,855,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-08,1110,1110,845,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-09,1110,1110,870,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-10,1045,1045,815,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-11,1215,1215,955,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2004-12,1030,1030,820,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-01,1440,1440,1150,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-02,1110,1110,855,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-03,1235,1235,960,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-04,1185,1185,935,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-05,1025,1025,775,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-06,1095,1095,800,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-07,1120,1120,830,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-08,1085,1085,810,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-09,1100,1100,820,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-10,1090,1090,815,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-11,1190,1190,905,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2005-12,1035,1035,770,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-01,1530,1530,1160,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-02,1080,1080,815,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-03,1320,1320,975,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-04,1050,1050,800,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-05,1160,1160,875,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-06,1320,1320,975,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-07,1100,1100,815,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-08,1240,1240,930,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-09,1415,1415,1025,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-10,1450,1450,1065,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-11,1460,1460,1070,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2006-12,1180,1180,860,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-01,1800,1800,1355,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-02,1350,1350,1015,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-03,1570,1570,1120,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-04,1265,1265,925,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-05,1355,1355,1000,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-06,1315,1315,965,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-07,1490,1490,1095,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-08,1395,1395,1025,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-09,1285,1285,960,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-10,1495,1495,1105,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-11,1420,1420,1045,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2007-12,1175,1175,900,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-01,1805,1805,1350,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-02,1460,1460,1100,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-03,1460,1460,1075,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-04,1565,1565,1095,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-05,1430,1430,1045,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-06,1525,1525,1115,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-07,1630,1630,1170,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-08,1355,1355,1015,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-09,1590,1590,1165,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-10,1620,1620,1160,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-11,1535,1535,1100,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2008-12,1435,1435,1060,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-01,1985,1985,1470,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-02,1715,1715,1230,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-03,1790,1790,1295,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-04,1635,1635,1180,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-05,1580,1580,1160,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-06,1775,1775,1310,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-07,1690,1690,1245,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-08,1605,1605,1175,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-09,1765,1765,1290,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-10,1765,1765,1310,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-11,1750,1750,1290,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2009-12,1625,1625,1195,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-01,1960,1960,1485,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-02,1790,1790,1300,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-03,2410,2410,1680,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-04,2900,2900,1915,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-05,2910,2910,1960,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-06,3495,3495,2295,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-07,3525,3525,2305,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-08,3410,3410,2235,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-09,3885,3885,2560,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-10,3445,3445,2310,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-11,3960,3960,2605,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2010-12,3275,3275,2210,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-01,4505,4505,3030,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-02,3865,3865,2600,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-03,4435,4435,2990,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-04,3305,3305,2205,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-05,4020,4020,2645,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-06,4185,4185,2790,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-07,3895,3895,2560,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-08,3950,3950,2645,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-09,4280,4280,2780,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-10,4090,4090,2680,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-11,4480,4480,2930,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2011-12,3810,3810,2510,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-01,5065,5065,3375,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-02,4295,4295,2835,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-03,4640,4640,3045,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-04,4025,4025,2645,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-05,4715,4715,3075,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-06,4120,4120,2690,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-07,4435,4435,2840,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-08,4235,4235,2720,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-09,4180,4180,2710,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-10,4870,4870,3095,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-11,4620,4620,2975,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2012-12,3770,3770,2495,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-01,5085,5085,3330,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-02,4110,4110,2745,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-03,4115,4115,2705,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-04,4440,4440,2900,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-05,4225,4225,2765,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-06,3975,3975,2655,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-07,4560,4560,3015,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-08,4050,4050,2680,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-09,4235,4235,2820,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-10,4765,4765,3110,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-11,4245,4245,2845,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2013-12,3715,3715,2540,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2014-01,5180,5180,3480,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2014-02,4090,4090,2775,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2014-03,4500,4500,2995,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2014-04,4290,4290,2855,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,2014-05,4430,4430,2970,397774045,397774045,54786605,"9,200 (0.00%)",5
