dataset,column_name,archived_on,completeness
deaths,S_COD_CODE_5,2025-11-04,9.746
deaths,REG_DISTRICT_NAME,2025-11-04,99.458
deaths,HAUTR,2025-11-04,64.987
deaths,UTLA9R,2025-11-04,8.966
deaths,ICD9_ORIG_MENTION_10,2025-11-04,0.005
deaths,REG_SUB_DISTRICT_CODE,2025-11-04,100
deaths,PCDIND,2025-11-04,25.256
deaths,ICD9_ORIG_MENTION_1,2025-11-04,25.52
deaths,ICD9_ORIG_MENTION_14,2025-11-04,0
deaths,S_COD_CODE_4,2025-11-04,19.952
deaths,S_COD_CODE_13,2025-11-04,0.022
deaths,HAUTPOD,2025-11-04,51.877
deaths,DEC_CONF_NHS_NUMBER_CLEAN_DEID,2025-11-04,99.299
deaths,ICD9_ORIG_MENTION_13,2025-11-04,0
deaths,POD_CODE,2025-11-04,100
deaths,ICD9_ORIG_MENTION_9,2025-11-04,0.013
deaths,ICD9_ORIG_MENTION_5,2025-11-04,1
deaths,S_COD_CODE_3,2025-11-04,37.114
deaths,CTYDR,2025-11-04,74.583
deaths,S_COD_CODE_1,2025-11-04,78.698
deaths,ProductionDate,2025-11-04,100
deaths,COR_AREA_NAME,2025-11-04,0
deaths,OUT_SECCATHF,2025-11-04,13.134
deaths,S_COD_CODE_10,2025-11-04,0.173
deaths,POD_NHS_ESTABLISHMENT,2025-11-04,75.731
deaths,UTLA9POD,2025-11-04,6.892
deaths,WARDR,2025-11-04,74.583
deaths,OUT_SECCATDM,2025-11-04,25.103
deaths,COR_INQ_DATES,2025-11-04,0
deaths,S_COD_CODE_8,2025-11-04,0.845
deaths,S_INJURY_EXTERNAL,2025-11-04,3.591
deaths,S_COD_CODE_12,2025-11-04,0.042
deaths,NEO_NATE_FLAG,2025-11-04,25.546
deaths,DEC_OCC_TYPE,2025-11-04,100
deaths,S_COD_CODE_7,2025-11-04,1.939
deaths,CCGR,2025-11-04,13.75
deaths,REG_SUB_DISTRICT_NAME,2025-11-04,74.765
deaths,S_COD_CODE_15,2025-11-04,0.006
deaths,S_COD_CODE_14,2025-11-04,0.012
deaths,CANCELLED_FLAG,2025-11-04,100
deaths,POD_ESTABLISHMENT_TYPE,2025-11-04,75.731
deaths,CTYR,2025-11-04,74.583
deaths,S_UNDERLYING_COD_ICD9,2025-11-04,25.52
deaths,ICD9_ORIG_MENTION_7,2025-11-04,0.109
deaths,S_COD_CODE_2,2025-11-04,60.602
deaths,DEC_BIRTH_COUNTRY_CODE,2025-11-04,99.995
deaths,S_COD_CODE_6,2025-11-04,4.438
epma_administration,PATIENT_GP_PRACTICE_LA_DISTRICT,2023-09-28,92.369
epma_administration,PATIENT_GP_PRACTICE_CCG_ODS_CODE,2023-09-28,91.851
epma_administration,REASON_GIVEN_OR_NOT_GIVEN,2023-09-28,0
epma_administration,PATIENT_LOCATION_CCG_ODS_CODE,2023-09-28,93.271
epma_administration,ADMINISTERED_DATE_TIME,2023-09-28,72.71
epma_administration,PATIENT_GP_PRACTICE_ODS_CODE,2023-09-28,92.4
epma_administration,NHS_NUMBER_DEID,2023-09-28,94.888
epma_administration,LAST_UPDATED_DATE,2023-09-28,100
epma_administration,ProductionDate,2023-09-28,100
epma_administration,PATIENT_AGE,2023-09-28,94.794
epma_administration,MEDICATION_NAME,2023-09-28,100
epma_administration,SCHEDULED_DATE_TIME,2023-09-28,100
epma_administration,ADMINISTRATION_ID_HASHED,2023-09-28,100
epma_administration,REPORTED_DATE_TIME,2023-09-28,100
epma_administration,PRESCRIPTION_ID_HASHED,2023-09-28,95.897
epma_administration,ODS_CODE,2023-09-28,100
epma_administration,PATIENT_LSOA,2023-09-28,93.1
epma_administration,PATIENT_GENDER,2023-09-28,94.748
epma_administration,RECORDED_DATE_TIME,2023-09-28,100
epma_administration_dmd,MAPPED_DMD_CODE,2024-03-27,100
epma_administration_dmd,VMPP,2024-03-27,0
epma_administration_dmd,AMPP,2024-03-27,0
epma_administration_dmd,MAPPED_DMD_LEVEL,2024-03-27,100
epma_administration_dmd,ProductionDate,2024-03-27,100
epma_administration_dmd,VMP_NAME,2024-03-27,99.927
epma_administration_dmd,AMP,2024-03-27,17.58
epma_administration_dmd,VTM,2024-03-27,89.32
epma_administration_dmd,MAPPED_DMD_INVALID,2024-03-27,22.202
epma_administration_dmd,MAPPED_DMD_SOURCE,2024-03-27,100
epma_administration_dmd,VMP,2024-03-27,99.927
epma_administration_dmd,VMPP_NAME,2024-03-27,0
epma_administration_dmd,AMP_NAME,2024-03-27,17.58
epma_administration_dmd,ADMINISTRATION_ID_HASHED,2024-03-27,100
epma_administration_dmd,MAPPED_DMD_NAME,2024-03-27,100
epma_administration_dmd,AMPP_NAME,2024-03-27,0
epma_administration_dmd,VTM_NAME,2024-03-27,89.32
epma_administration_dosage,ADMINISTRATION_ID_HASHED,2023-09-28,100
epma_administration_dosage,DOSAGEAS_NEEDEDBOOLEAN,2023-09-28,100
epma_administration_dosage,ROUTEINTEXT,2023-09-28,0
epma_administration_dosage,ProductionDate,2023-09-28,100
epma_prescription,LINK_FROM,2023-09-28,11.767
epma_prescription,ORDER_ID,2023-09-28,100
epma_prescription,VERSION,2023-09-28,100
epma_prescription,GROUP_TYPE,2023-09-28,18.614
epma_prescription,PATIENT_AGE,2023-09-28,93.922
epma_prescription,LINK_TO,2023-09-28,11.769
epma_prescription,NHS_NUMBER_DEID,2023-09-28,94.027
epma_prescription,ODS_CODE,2023-09-28,100
epma_prescription,MEDICATION_NAME,2023-09-28,100
epma_prescription,PATIENT_GP_PRACTICE_LA_DISTRICT,2023-09-28,93.072
epma_prescription,FORM,2023-09-28,95.935
epma_prescription,LAST_AUTHORISED_DATE_TIME,2023-09-28,100
epma_prescription,REPORTED_DATE_TIME,2023-09-28,100
epma_prescription,PRESCRIPTION_ID_HASHED,2023-09-28,100
epma_prescription,PATIENT_LSOA,2023-09-28,92.623
epma_prescription,INITIAL_AUTHORISED_DATE_TIME,2023-09-28,100
epma_prescription,STATUS,2023-09-28,100
epma_prescription,ProductionDate,2023-09-28,100
epma_prescription,TYPE,2023-09-28,100
epma_prescription,PATIENT_GENDER,2023-09-28,93.872
epma_prescription,PATIENT_LOCATION_CCG_ODS_CODE,2023-09-28,92.682
epma_prescription,PATIENT_GP_PRACTICE_CCG_ODS_CODE,2023-09-28,92.72
epma_prescription,PATIENT_GP_PRACTICE_ODS_CODE,2023-09-28,93.109
epma_prescription_chemical,STRENGTH_TEXT,2023-09-28,85.41
epma_prescription_chemical,CHEMICAL,2023-09-28,98.399
epma_prescription_chemical,PRESCRIPTION_ID_HASHED,2023-09-28,100
epma_prescription_chemical,ProductionDate,2023-09-28,100
epma_prescription_dmd,VMPP,2024-03-27,0
epma_prescription_dmd,VMPP_NAME,2024-03-27,0
epma_prescription_dmd,MAPPED_DMD_SOURCE,2024-03-27,100
epma_prescription_dmd,VMP,2024-03-27,99.947
epma_prescription_dmd,ProductionDate,2024-03-27,100
epma_prescription_dmd,AMP,2024-03-27,14.098
epma_prescription_dmd,VTM,2024-03-27,94.619
epma_prescription_dmd,MAPPED_DMD_NAME,2024-03-27,100
epma_prescription_dmd,VMP_NAME,2024-03-27,99.947
epma_prescription_dmd,MAPPED_DMD_LEVEL,2024-03-27,100
epma_prescription_dmd,AMPP,2024-03-27,0
epma_prescription_dmd,MAPPED_DMD_CODE,2024-03-27,100
epma_prescription_dmd,MAPPED_DMD_INVALID,2024-03-27,20.494
epma_prescription_dmd,AMPP_NAME,2024-03-27,0
epma_prescription_dmd,PRESCRIPTION_ID_HASHED,2024-03-27,100
epma_prescription_dmd,AMP_NAME,2024-03-27,14.098
epma_prescription_dmd,VTM_NAME,2024-03-27,94.619
epma_prescription_dosage,DOSAGE_SEQUENCE,2023-09-28,100
epma_prescription_dosage,DOSAGE_AS_NEEDED_BOOLEAN_REASON,2023-09-28,0
epma_prescription_dosage,DOSE_QUANTITY_UNIT,2023-09-28,0
epma_prescription_dosage,FREQUENCY_DESCRIPTION,2023-09-28,0
epma_prescription_dosage,ALTERNATIVE_DOSE_QUANTITY_VALUE,2023-09-28,75.332
epma_prescription_dosage,DOSAGE_AS_NEEDED_BOOLEAN,2023-09-28,100
epma_prescription_dosage,ProductionDate,2023-09-28,100
epma_prescription_dosage,PRESCRIPTION_ID_HASHED,2023-09-28,100
epma_prescription_dosage,END_DATE_TIME,2023-09-28,27.026
epma_prescription_dosage,START_DATE_TIME,2023-09-28,100
epma_prescription_dosage,ROUTE_DESCRIPTION,2023-09-28,0
epma_prescription_dosage,ALTERNATIVE_DOSE_QUANTITY_UNIT,2023-09-28,0
epma_prescription_dosage,DOSE_QUANTITY_VALUE,2023-09-28,100
gdppr,VALUE1_CONDITION,2025-11-04,30.135
gdppr,NHS_NUMBER_DEID,2025-11-04,100
gdppr,CODE,2025-11-04,99.997
gdppr,RECORD_DATE,2025-11-04,99.936
gdppr,YEAR_OF_DEATH,2025-11-04,9.685
gdppr,VALUE2_CONDITION,2025-11-04,1.103
gdppr,YEAR_OF_BIRTH,2025-11-04,100
gdppr,SEX,2025-11-04,100
gdppr,REPORTING_PERIOD_END_DATE,2025-11-04,100
gdppr,GP_SYSTEM_SUPPLIER,2025-11-04,100
gdppr,VALUE1_PRESCRIPTION,2025-11-04,17.588
gdppr,ETHNIC,2025-11-04,36.809
gdppr,ProductionDate,2025-11-04,100
gdppr,LINKS,2025-11-04,1.294
gdppr,DATE,2025-11-04,99.968
gdppr,PRACTICE,2025-11-04,100
gdppr,LSOA,2025-11-04,99.952
gdppr,PROCESSED_TIMESTAMP,2025-11-04,100
gdppr,YEAR_MONTH_OF_BIRTH,2025-11-04,100
gdppr,EPISODE_CONDITION,2025-11-04,3.494
gdppr,EPISODE_PRESCRIPTION,2025-11-04,17.568
gdppr,VALUE2_PRESCRIPTION,2025-11-04,29.861
hes_ae,ARRIVALTIME,2025-11-04,100
hes_ae,TREATSCHEME,2025-11-04,71.098
hes_ae,CCG_TREATMENT,2025-11-04,82.602
hes_ae,GPPRAC,2025-11-04,100
hes_ae,TREAT3_01,2025-11-04,84.195
hes_ae,ARRIVALDATE,2025-11-04,100
hes_ae,PCON,2025-11-04,99.679
hes_ae,TREAT2_03,2025-11-04,22.789
hes_ae,DIAGSCHEME,2025-11-04,75.238
hes_ae,INVEST2_09,2025-11-04,5.409
hes_ae,DIAGS_04,2025-11-04,0.076
hes_ae,DIAG2_05,2025-11-04,0.127
hes_ae,SEX,2025-11-04,100
hes_ae,DIAG2_12,2025-11-04,0.069
hes_ae,CR_RESIDENCE,2025-11-04,82.602
hes_ae,DIAGA_11,2025-11-04,0.024
hes_ae,PCTORIG_HIS,2025-11-04,100
hes_ae,DIAGS_11,2025-11-04,0.023
hes_ae,DIAGS_07,2025-11-04,0.032
hes_ae,CONCLTIME,2025-11-04,100
hes_ae,TREAT2_08,2025-11-04,1.977
hes_ae,AT_TREATMENT,2025-11-04,82.602
hes_ae,TREAT3_09,2025-11-04,1.574
hes_ae,INVEST2_05,2025-11-04,16.011
hes_ae,TREAT2_12,2025-11-04,0.847
hes_ae,CCG_TREATMENT_ORIGIN,2025-11-04,82.602
hes_ae,INVEST2_07,2025-11-04,8.605
hes_ae,CANNET,2025-11-04,98.01
hes_ae,INITDUR,2025-11-04,86.436
hes_ae,PROCODE5,2025-11-04,100
hes_ae,RESCTY,2025-11-04,100
hes_ae,PROVDIST,2025-11-04,92.872
hes_ae,DIAG3_04,2025-11-04,0.22
hes_ae,TREAT2_11,2025-11-04,0.894
hes_ae,MSOA11,2025-11-04,97.961
hes_ae,TREAT3_02,2025-11-04,50.827
hes_ae,DIAG3_08,2025-11-04,0.078
hes_ae,DIAG3_03,2025-11-04,0.54
hes_ae,RESSTHA_HIS,2025-11-04,100
hes_ae,ProductionDate,2025-11-04,100
hes_ae,DIAG2_07,2025-11-04,0.084
hes_ae,INVEST2_06,2025-11-04,13.05
hes_ae,DIAG3_01,2025-11-04,65.881
hes_ae,AEINCLOCTYPE,2025-11-04,100
hes_ae,TREAT2_05,2025-11-04,7.686
hes_ae,INITTIME,2025-11-04,100
hes_ae,INVEST2_04,2025-11-04,19.273
hes_ae,SITEDIST,2025-11-04,23.944
hes_ae,TREAT2_01,2025-11-04,84.626
hes_ae,LSOA01,2025-11-04,98.01
hes_ae,SITETRET,2025-11-04,25.102
hes_ae,TREAT3_10,2025-11-04,1.389
hes_ae,PCTTREAT,2025-11-04,100
hes_ae,CCG_GP_PRACTICE,2025-11-04,82.602
hes_ae,RESCTY_ONS,2025-11-04,75.821
hes_ae,PROCODE3,2025-11-04,100
hes_ae,DIAG2_06,2025-11-04,0.094
hes_ae,PARTYEAR,2025-11-04,100
hes_ae,AT_GP_PRACTICE,2025-11-04,82.602
hes_ae,DIAGS_05,2025-11-04,0.045
hes_ae,ARRIVALAGE,2025-11-04,99.136
hes_ae,TREAT3_03,2025-11-04,22.77
hes_ae,DIAGA_05,2025-11-04,0.057
hes_ae,DIAG3_11,2025-11-04,0.07
hes_ae,TREAT3_08,2025-11-04,1.977
hes_ae,TREAT2_09,2025-11-04,1.574
hes_ae,DIAG2_03,2025-11-04,0.581
hes_ae,INVEST2_03,2025-11-04,22.832
hes_ae,DIAG2_02,2025-11-04,8.231
hes_ae,DIAGS_01,2025-11-04,20.806
hes_ae,INVEST2_02,2025-11-04,41.077
hes_ae,DIAGA_09,2025-11-04,0.029
hes_ae,DIAGA_02,2025-11-04,4.042
hes_ae,CR_GP_PRACTICE,2025-11-04,82.602
hes_ae,RANK_ORDER,2025-11-04,12.178
hes_ae,ETHNOS,2025-11-04,100
hes_ae,TREAT3_12,2025-11-04,0.847
hes_ae,DIAGS_08,2025-11-04,0.029
hes_ae,DIAGA_01,2025-11-04,35.725
hes_ae,TREAT2_07,2025-11-04,2.686
hes_ae,MSOA01,2025-11-04,98.01
hes_ae,DIAGS_09,2025-11-04,0.027
hes_ae,NER_TREATMENT,2025-11-04,44.923
hes_ae,INVEST2_10,2025-11-04,4.571
hes_ae,DIAGS_10,2025-11-04,0.025
hes_ae,AEPATGROUP,2025-11-04,100
hes_ae,DIAGS_06,2025-11-04,0.036
hes_ae,DIAG3_12,2025-11-04,0.069
hes_ae,DIAGS_02,2025-11-04,2.264
hes_ae,AEARRIVALMODE,2025-11-04,100
hes_ae,INVEST2_01,2025-11-04,84.556
hes_ae,DIAG3_05,2025-11-04,0.12
hes_ae,TREAT3_11,2025-11-04,0.894
hes_ae,DEPDUR,2025-11-04,99.163
hes_ae,CCG_RESPONSIBILITY,2025-11-04,82.602
hes_ae,RESLADST,2025-11-04,100
hes_ae,DIAGA_06,2025-11-04,0.044
hes_ae,SITEDIST_FLAG,2025-11-04,24.307
hes_ae,TREAT3_06,2025-11-04,4.672
hes_ae,AT_RESIDENCE,2025-11-04,82.602
hes_ae,CONCLDUR,2025-11-04,96.442
hes_ae,CANREG,2025-11-04,98.01
hes_ae,SUSLDDATE_HIS,2025-11-04,100
hes_ae,TREAT3_04,2025-11-04,13.181
hes_ae,INVEST2_11,2025-11-04,3.43
hes_ae,DIAG3_06,2025-11-04,0.091
hes_ae,DEPTIME,2025-11-04,100
hes_ae,TREAT3_05,2025-11-04,7.685
hes_ae,PROCODET,2025-11-04,100
hes_ae,DIAG2_08,2025-11-04,0.079
hes_ae,TREAT2_06,2025-11-04,4.673
hes_ae,DIAGA_10,2025-11-04,0.026
hes_ae,AEREFSOURCE,2025-11-04,100
hes_ae,DIAG3_07,2025-11-04,0.083
hes_ae,DIAG2_09,2025-11-04,0.076
hes_ae,AEDEPTTYPE,2025-11-04,100
hes_ae,DIAGS_03,2025-11-04,0.207
hes_ae,CCG_RESPONSIBILITY_ORIGIN,2025-11-04,82.602
hes_ae,DIAG2_11,2025-11-04,0.071
hes_ae,RESLADST_ONS,2025-11-04,75.821
hes_ae,INVESTSCHEME,2025-11-04,90.665
hes_ae,PROCSCHEME,2025-11-04,20.316
hes_ae,DIAGA_04,2025-11-04,0.124
hes_ae,DIAGA_07,2025-11-04,0.037
hes_ae,CR_TREATMENT,2025-11-04,82.602
hes_ae,PCTCODE_HIS,2025-11-04,100
hes_ae,INVEST2_08,2025-11-04,6.979
hes_ae,EPIKEY,2025-11-04,12.178
hes_ae,AEKEY_FLAG,2025-11-04,100
hes_ae,NER_GP_PRACTICE,2025-11-04,44.923
hes_ae,DIAGA_08,2025-11-04,0.032
hes_ae,INVEST2_12,2025-11-04,2.982
hes_ae,DIAG3_02,2025-11-04,7.142
hes_ae,PCON_ONS,2025-11-04,75.821
hes_ae,DIAG3_09,2025-11-04,0.075
hes_ae,PURCODE,2025-11-04,99.963
hes_ae,DIAGA_03,2025-11-04,0.327
hes_ae,NER_RESIDENCE,2025-11-04,44.923
hes_ae,TREAT3_07,2025-11-04,2.686
hes_ae,DIAG2_01,2025-11-04,70.971
hes_ae,DIAG3_10,2025-11-04,0.072
hes_ae,STHATRET,2025-11-04,100
hes_ae,TREAT2_10,2025-11-04,1.389
hes_ae,TREAT2_02,2025-11-04,51.182
hes_ae,DIAGS_12,2025-11-04,0.022
hes_ae,AEATTEND_EXC_PLANNED,2025-11-04,100
hes_ae,AEATTENDDISP,2025-11-04,100
hes_ae,TRETTIME,2025-11-04,100
hes_ae,CCG_RESIDENCE,2025-11-04,82.602
hes_ae,LSOA11,2025-11-04,97.961
hes_ae,AEKEY,2025-11-04,100
hes_ae,PERSON_ID_DEID,2025-11-04,100
hes_ae,TRETDUR,2025-11-04,90.08
hes_ae,DIAGA_12,2025-11-04,0.023
hes_ae,FYEAR,2025-11-04,100
hes_ae,TREAT2_04,2025-11-04,13.184
hes_ae,DIAG2_10,2025-11-04,0.073
hes_ae,DIAG2_04,2025-11-04,0.24
hes_ae,RESGOR_ONS,2025-11-04,75.821
hes_ae,SUSHRG,2025-11-04,91.274
hes_ae,PROVDIST_FLAG,2025-11-04,94.319
hes_ae,AEATTENDCAT,2025-11-04,100
hes_ae,RESPCT_HIS,2025-11-04,100
hes_ae,GORTREAT,2025-11-04,100
hes_ae,RESGOR,2025-11-04,100
