"dataset","date_ym","n","n_id","n_distinct"
"Annual District Birth Extract",200011,2530,2525,2525
"Annual District Birth Extract",200012,2035,2020,2020
"Annual District Birth Extract",200101,3240,3220,3220
"Annual District Birth Extract",200102,2390,2375,2375
"Annual District Birth Extract",200103,2680,2665,2665
"Annual District Birth Extract",200104,2410,2390,2390
"Annual District Birth Extract",200105,2550,2535,2535
"Annual District Birth Extract",200106,2660,2645,2645
"Annual District Birth Extract",200107,2605,2590,2590
"Annual District Birth Extract",200108,2600,2590,2590
"Annual District Birth Extract",200109,2415,2400,2400
"Annual District Birth Extract",200110,2845,2830,2830
"Annual District Birth Extract",200111,2585,2575,2575
"Annual District Birth Extract",200112,1940,1925,1925
"Annual District Birth Extract",200201,3110,3100,3100
"Annual District Birth Extract",200202,2255,2240,2240
"Annual District Birth Extract",200203,2425,2415,2415
"Annual District Birth Extract",200204,2465,2450,2450
"Annual District Birth Extract",200205,2625,2610,2610
"Annual District Birth Extract",200206,2290,2275,2275
"Annual District Birth Extract",200207,2715,2695,2695
"Annual District Birth Extract",200208,2450,2430,2430
"Annual District Birth Extract",200209,2670,2655,2655
"Annual District Birth Extract",200210,2805,2790,2790
"Annual District Birth Extract",200211,2545,2530,2530
"Annual District Birth Extract",200212,1930,1920,1920
"Annual District Birth Extract",200301,3220,3210,3210
"Annual District Birth Extract",200302,2330,2320,2320
"Annual District Birth Extract",200303,2470,2460,2460
"Annual District Birth Extract",200304,2470,2455,2455
"Annual District Birth Extract",200305,2635,2625,2625
"Annual District Birth Extract",200306,2730,2720,2720
"Annual District Birth Extract",200307,2820,2810,2810
"Annual District Birth Extract",200308,2515,2500,2500
"Annual District Birth Extract",200309,2905,2890,2890
"Annual District Birth Extract",200310,2900,2885,2885
"Annual District Birth Extract",200311,2365,2355,2355
"Annual District Birth Extract",200312,2360,2345,2345
"Annual District Birth Extract",200401,2955,2935,2935
"Annual District Birth Extract",200402,2500,2475,2475
"Annual District Birth Extract",200403,2815,2805,2805
"Annual District Birth Extract",200404,2610,2590,2590
"Annual District Birth Extract",200405,2475,2465,2465
"Annual District Birth Extract",200406,2735,2715,2715
"Annual District Birth Extract",200407,2705,2690,2690
"Annual District Birth Extract",200408,2655,2640,2640
"Annual District Birth Extract",200409,2995,2980,2980
"Annual District Birth Extract",200410,2670,2655,2655
"Annual District Birth Extract",200411,2890,2870,2870
"Annual District Birth Extract",200412,2325,2315,2315
"Annual District Birth Extract",200501,3215,3195,3195
"Annual District Birth Extract",200502,2435,2415,2415
"Annual District Birth Extract",200503,2520,2510,2510
"Annual District Birth Extract",200504,2815,2805,2805
"Annual District Birth Extract",200505,2520,2500,2500
"Annual District Birth Extract",200506,2850,2825,2825
"Annual District Birth Extract",200507,2660,2645,2645
"Annual District Birth Extract",200508,2925,2905,2905
"Annual District Birth Extract",200509,3075,3060,3060
"Annual District Birth Extract",200510,2825,2810,2810
"Annual District Birth Extract",200511,2675,2660,2660
"Annual District Birth Extract",200512,2210,2195,2195
"Annual District Birth Extract",200601,3285,3270,3270
"Annual District Birth Extract",200602,2450,2440,2440
"Annual District Birth Extract",200603,2930,2910,2910
"Annual District Birth Extract",200604,2445,2425,2425
"Annual District Birth Extract",200605,2930,2915,2915
"Annual District Birth Extract",200606,3010,2995,2995
"Annual District Birth Extract",200607,2685,2675,2675
"Annual District Birth Extract",200608,3005,2990,2990
"Annual District Birth Extract",200609,2930,2910,2910
"Annual District Birth Extract",200610,3075,3060,3060
"Annual District Birth Extract",200611,2885,2870,2870
"Annual District Birth Extract",200612,2155,2135,2135
"Annual District Birth Extract",200701,3330,3305,3305
"Annual District Birth Extract",200702,2475,2460,2460
"Annual District Birth Extract",200703,2770,2735,2735
"Annual District Birth Extract",200704,2735,2695,2695
"Annual District Birth Extract",200705,2790,2775,2775
"Annual District Birth Extract",200706,2985,2965,2965
"Annual District Birth Extract",200707,2975,2960,2960
"Annual District Birth Extract",200708,3040,3025,3025
"Annual District Birth Extract",200709,2955,2935,2935
"Annual District Birth Extract",200710,3210,3185,3185
"Annual District Birth Extract",200711,2940,2920,2920
"Annual District Birth Extract",200712,2120,2110,2110
"Annual District Birth Extract",200801,3750,3715,3715
"Annual District Birth Extract",200802,2950,2920,2920
"Annual District Birth Extract",200803,2585,2570,2570
"Annual District Birth Extract",200804,3165,3130,3130
"Annual District Birth Extract",200805,2940,2905,2905
"Annual District Birth Extract",200806,3050,3035,3035
"Annual District Birth Extract",200807,3190,3165,3165
"Annual District Birth Extract",200808,2800,2770,2770
"Annual District Birth Extract",200809,3250,3225,3225
"Annual District Birth Extract",200810,3120,3100,3100
"Annual District Birth Extract",200811,2725,2705,2705
"Annual District Birth Extract",200812,2585,2555,2555
"Annual District Birth Extract",200901,3375,3355,3355
"Annual District Birth Extract",200902,2610,2605,2605
"Annual District Birth Extract",200903,2955,2940,2940
"Annual District Birth Extract",200904,2815,2795,2795
"Annual District Birth Extract",200905,2625,2605,2605
"Annual District Birth Extract",200906,3110,3085,3085
"Annual District Birth Extract",200907,3180,3160,3160
"Annual District Birth Extract",200908,2725,2710,2710
"Annual District Birth Extract",200909,3100,3090,3090
"Annual District Birth Extract",200910,3025,3005,3005
"Annual District Birth Extract",200911,2990,2970,2970
"Annual District Birth Extract",200912,2415,2395,2395
"Annual District Birth Extract",201001,3255,3215,3215
"Annual District Birth Extract",201002,3010,2970,2970
"Annual District Birth Extract",201003,3155,3110,3110
"Annual District Birth Extract",201004,2880,2850,2850
"Annual District Birth Extract",201005,2745,2715,2715
"Annual District Birth Extract",201006,3030,3000,3000
"Annual District Birth Extract",201007,2955,2920,2920
"Annual District Birth Extract",201008,2825,2785,2785
"Annual District Birth Extract",201009,3330,3275,3275
"Annual District Birth Extract",201010,3155,3110,3110
"Annual District Birth Extract",201011,3235,3185,3185
"Annual District Birth Extract",201012,2270,2235,2235
"Annual District Birth Extract",201101,3755,3650,3650
"Annual District Birth Extract",201102,2755,2735,2735
"Annual District Birth Extract",201103,3185,3160,3160
"Annual District Birth Extract",201104,2445,2415,2415
"Annual District Birth Extract",201105,3100,3070,3070
"Annual District Birth Extract",201106,3215,3190,3190
"Annual District Birth Extract",201107,2895,2880,2880
"Annual District Birth Extract",201108,2970,2955,2955
"Annual District Birth Extract",201109,3110,3090,3090
"Annual District Birth Extract",201110,3010,2990,2990
"Annual District Birth Extract",201111,2975,2930,2930
"Annual District Birth Extract",201112,2475,2460,2460
"Annual District Birth Extract",201201,3615,3600,3600
"Annual District Birth Extract",201202,2985,2960,2960
"Annual District Birth Extract",201203,2975,2965,2965
"Annual District Birth Extract",201204,2695,2680,2680
"Annual District Birth Extract",201205,3150,3130,3130
"Annual District Birth Extract",201206,2810,2795,2795
"Annual District Birth Extract",201207,2985,2960,2960
"Annual District Birth Extract",201208,2860,2845,2845
"Annual District Birth Extract",201209,2905,2885,2885
"Annual District Birth Extract",201210,3395,3385,3385
"Annual District Birth Extract",201211,3000,2990,2990
"Annual District Birth Extract",201212,2190,2170,2170
"Annual District Birth Extract",201301,3295,3280,3280
"Annual District Birth Extract",201302,2835,2815,2815
"Annual District Birth Extract",201303,2660,2650,2650
"Annual District Birth Extract",201304,2985,2970,2970
"Annual District Birth Extract",201305,2770,2750,2750
"Annual District Birth Extract",201306,2635,2620,2620
"Annual District Birth Extract",201307,3060,3040,3040
"Annual District Birth Extract",201308,2865,2855,2855
"Annual District Birth Extract",201309,2945,2930,2930
"Annual District Birth Extract",201310,3060,3040,3040
"Annual District Birth Extract",201311,2725,2715,2715
"Annual District Birth Extract",201312,2230,2225,2225
"Annual District Birth Extract",201401,3485,3465,3465
"Annual District Birth Extract",201402,2685,2670,2670
"Annual District Birth Extract",201403,2755,2735,2735
"Annual District Birth Extract",201404,2690,2670,2670
"Annual District Birth Extract",201405,2695,2680,2680
"Annual District Birth Extract",201406,2810,2785,2785
"Annual District Birth Extract",201407,2870,2860,2860
"Annual District Birth Extract",201408,2460,2450,2450
"Annual District Birth Extract",201409,3165,3145,3145
"Annual District Birth Extract",201410,3085,3080,3080
"Annual District Birth Extract",201411,2580,2565,2565
"Annual District Birth Extract",201412,2430,2415,2415
"Annual District Birth Extract",201501,3190,3175,3175
"Annual District Birth Extract",201502,2565,2550,2550
"Annual District Birth Extract",201503,2775,2765,2765
"Annual District Birth Extract",201504,2810,2795,2795
"Annual District Birth Extract",201505,2515,2500,2500
"Annual District Birth Extract",201506,3050,3035,3035
"Annual District Birth Extract",201507,2890,2865,2865
"Annual District Birth Extract",201508,2680,2650,2650
"Annual District Birth Extract",201509,3115,3100,3100
"Annual District Birth Extract",201510,2895,2875,2875
"Annual District Birth Extract",201511,2765,2750,2750
"Annual District Birth Extract",201512,2325,2310,2310
"Annual District Birth Extract",201601,3025,3000,3000
"Annual District Birth Extract",201602,2595,2580,2580
"Annual District Birth Extract",201603,2570,2555,2555
"Annual District Birth Extract",201604,2880,2860,2860
"Annual District Birth Extract",201605,2640,2625,2625
"Annual District Birth Extract",201606,2930,2910,2910
"Annual District Birth Extract",201607,2705,2690,2690
"Annual District Birth Extract",201608,2815,2785,2785
"Annual District Birth Extract",201609,2960,2805,2805
"Annual District Birth Extract",201610,2910,2795,2795
"Annual District Birth Extract",201611,2825,2800,2800
"Annual District Birth Extract",201612,2130,2115,2115
"Annual District Birth Extract",201701,3090,3075,3075
"Annual District Birth Extract",201702,2500,2490,2490
"Annual District Birth Extract",201703,2895,2880,2880
"Annual District Birth Extract",201704,2235,2230,2230
"Annual District Birth Extract",201705,2740,2725,2725
"Annual District Birth Extract",201706,2895,2875,2875
"Annual District Birth Extract",201707,2605,2590,2590
"Annual District Birth Extract",201708,2750,2740,2740
"Annual District Birth Extract",201709,2880,2865,2865
"Annual District Birth Extract",201710,3035,3020,3020
"Annual District Birth Extract",201711,2775,2765,2765
"Annual District Birth Extract",201712,1985,1980,1980
"Annual District Birth Extract",201801,3135,3125,3125
"Annual District Birth Extract",201802,2380,2370,2370
"Annual District Birth Extract",201803,2495,2495,2495
"Annual District Birth Extract",201804,2590,2590,2590
"Annual District Birth Extract",201805,2610,2610,2610
"Annual District Birth Extract",201806,2770,2770,2770
"Annual District Birth Extract",201807,2735,2735,2735
"Annual District Birth Extract",201808,2545,2545,2545
"Annual District Birth Extract",201809,2635,2635,2635
"Annual District Birth Extract",201810,2945,2945,2945
"Annual District Birth Extract",201811,2635,2635,2635
"Annual District Birth Extract",201812,2010,2010,2010
"Annual District Birth Extract",201901,3115,3115,3115
"Annual District Birth Extract",201902,2290,2290,2290
"Annual District Birth Extract",201903,2375,2370,2370
"Annual District Birth Extract",201904,2215,2210,2210
"Annual District Birth Extract",201905,2570,2565,2565
"Annual District Birth Extract",201906,2485,2485,2485
"Annual District Birth Extract",201907,2760,2760,2760
"Annual District Birth Extract",201908,2410,2410,2410
"Annual District Birth Extract",201909,2610,2610,2610
"Annual District Birth Extract",201910,2700,2695,2695
"Annual District Birth Extract",201911,2425,2425,2425
"Annual District Birth Extract",201912,1915,1915,1915
"Annual District Birth Extract",202001,3095,3095,3095
"Annual District Birth Extract",202002,2130,2130,2130
"Annual District Birth Extract",202003,1900,1895,1895
"Annual District Birth Extract",202004,45,45,45
"Annual District Birth Extract",202005,25,20,20
"Annual District Birth Extract",202006,235,235,235
"Annual District Birth Extract",202007,3860,3855,3855
"Annual District Birth Extract",202008,4145,4135,4135
"Annual District Birth Extract",202009,3850,3845,3845
"Annual District Birth Extract",202010,3415,3410,3410
"Annual District Birth Extract",202011,2985,2980,2980
"Annual District Birth Extract",202012,2140,2140,2140
"Annual District Birth Extract",202101,1390,1390,1390
"Annual District Birth Extract",202102,2000,2000,2000
"Annual District Birth Extract",202103,3155,3150,3150
"Annual District Birth Extract",202104,2495,2495,2495
"Annual District Birth Extract",202105,2330,2320,2320
"Annual District Birth Extract",202106,2495,2490,2490
"Annual District Birth Extract",202107,2255,2255,2255
"Annual District Birth Extract",202108,2210,2205,2205
"Annual District Birth Extract",202109,2770,2765,2765
"Annual District Birth Extract",202110,2895,2895,2895
"Annual District Birth Extract",202111,3170,3165,3165
"Annual District Birth Extract",202112,1970,1970,1970
"Annual District Birth Extract",202201,2780,2780,2780
"Annual District Birth Extract",202202,2345,2345,2345
"Annual District Birth Extract",202203,2850,2850,2850
"Annual District Birth Extract",202204,2010,2005,2005
"Annual District Birth Extract",202205,2460,2455,2455
"Annual District Birth Extract",202206,2305,2305,2305
"Annual District Birth Extract",202207,2250,2250,2250
"Annual District Birth Extract",202208,2305,2300,2300
"Annual District Birth Extract",202209,2425,2425,2425
"Annual District Birth Extract",202210,2790,2790,2790
"Annual District Birth Extract",202211,2775,2775,2775
"Annual District Birth Extract",202212,1745,1745,1745
"Annual District Birth Extract",202301,2650,2650,2650
"Annual District Birth Extract",202302,2085,2085,2085
"Annual District Birth Extract",202303,2405,2405,2405
"Annual District Birth Extract",202304,1285,1285,1285
"Annual District Birth Extract",202305,170,170,170
"Annual District Birth Extract",202306,10,10,10
"Annual District Death Daily",200511,10,10,10
"Annual District Death Daily",200701,10,10,10
"Annual District Death Daily",200805,10,10,10
"Annual District Death Daily",200912,10,10,10
"Annual District Death Daily",201107,10,10,10
"Annual District Death Daily",201110,10,10,10
"Annual District Death Daily",201206,10,10,10
"Annual District Death Daily",201302,10,10,10
"Annual District Death Daily",201404,10,10,10
"Annual District Death Daily",201405,10,10,10
"Annual District Death Daily",201407,10,10,10
"Annual District Death Daily",201410,10,10,10
"Annual District Death Daily",201506,10,10,10
"Annual District Death Daily",201508,10,10,10
"Annual District Death Daily",201511,10,10,10
"Annual District Death Daily",201601,10,10,10
"Annual District Death Daily",201602,10,10,10
"Annual District Death Daily",201603,10,10,10
"Annual District Death Daily",201604,10,10,10
"Annual District Death Daily",201605,10,10,10
"Annual District Death Daily",201606,10,10,10
"Annual District Death Daily",201608,10,10,10
"Annual District Death Daily",201609,10,10,10
"Annual District Death Daily",201610,10,10,10
"Annual District Death Daily",201612,10,10,10
"Annual District Death Daily",201701,10,10,10
"Annual District Death Daily",201702,10,10,10
"Annual District Death Daily",201704,10,10,10
"Annual District Death Daily",201705,10,10,10
"Annual District Death Daily",201706,10,10,10
"Annual District Death Daily",201707,10,10,10
"Annual District Death Daily",201708,10,10,10
"Annual District Death Daily",201709,10,10,10
"Annual District Death Daily",201710,10,10,10
"Annual District Death Daily",201711,10,10,10
"Annual District Death Daily",201712,10,10,10
"Annual District Death Daily",201801,15,15,15
"Annual District Death Daily",201802,25,25,25
"Annual District Death Daily",201803,10,10,10
"Annual District Death Daily",201804,15,15,15
"Annual District Death Daily",201805,20,20,20
"Annual District Death Daily",201806,25,25,25
"Annual District Death Daily",201807,25,25,25
"Annual District Death Daily",201808,10,10,10
"Annual District Death Daily",201809,15,15,15
"Annual District Death Daily",201810,20,20,20
"Annual District Death Daily",201811,20,20,20
"Annual District Death Daily",201812,30,30,30
"Annual District Death Daily",201901,25,25,25
"Annual District Death Daily",201902,45,45,45
"Annual District Death Daily",201903,210,210,210
"Annual District Death Daily",201904,70,70,70
"Annual District Death Daily",201905,75,75,75
"Annual District Death Daily",201906,75,70,70
"Annual District Death Daily",201907,90,90,90
"Annual District Death Daily",201908,115,115,115
"Annual District Death Daily",201909,170,170,170
"Annual District Death Daily",201910,185,185,185
"Annual District Death Daily",201911,205,205,205
"Annual District Death Daily",201912,270,270,270
"Annual District Death Daily",202001,370,370,370
"Annual District Death Daily",202002,855,855,855
"Annual District Death Daily",202003,3765,3760,3760
"Annual District Death Daily",202004,5045,5040,5040
"Annual District Death Daily",202005,3555,3555,3555
"Annual District Death Daily",202006,2990,2990,2990
"Annual District Death Daily",202007,2810,2810,2810
"Annual District Death Daily",202008,2955,2950,2950
"Annual District Death Daily",202009,2920,2920,2920
"Annual District Death Daily",202010,3535,3535,3535
"Annual District Death Daily",202011,3920,3920,3920
"Annual District Death Daily",202012,4585,4585,4585
"Annual District Death Daily",202101,5105,5100,5100
"Annual District Death Daily",202102,3545,3540,3540
"Annual District Death Daily",202103,3215,3215,3215
"Annual District Death Daily",202104,2850,2850,2850
"Annual District Death Daily",202105,2995,2990,2990
"Annual District Death Daily",202106,2855,2855,2855
"Annual District Death Daily",202107,3200,3200,3200
"Annual District Death Daily",202108,3060,3055,3055
"Annual District Death Daily",202109,3215,3210,3210
"Annual District Death Daily",202110,3750,3740,3740
"Annual District Death Daily",202111,3550,3545,3545
"Annual District Death Daily",202112,3885,3880,3880
"Annual District Death Daily",202201,3625,3625,3625
"Annual District Death Daily",202202,3090,3090,3090
"Annual District Death Daily",202203,3280,3280,3280
"Annual District Death Daily",202204,3295,3290,3290
"Annual District Death Daily",202205,3120,3115,3115
"Annual District Death Daily",202206,2890,2885,2885
"Annual District Death Daily",202207,3010,3010,3010
"Annual District Death Daily",202208,3015,3015,3015
"Annual District Death Daily",202209,2490,1940,1940
"Annual District Death Extract",197310,10,10,10
"Annual District Death Extract",198609,10,10,10
"Annual District Death Extract",199112,10,10,10
"Annual District Death Extract",199301,10,10,10
"Annual District Death Extract",199306,10,10,10
"Annual District Death Extract",199307,10,10,10
"Annual District Death Extract",199308,10,10,10
"Annual District Death Extract",199310,10,10,10
"Annual District Death Extract",199404,10,10,10
"Annual District Death Extract",199405,10,10,10
"Annual District Death Extract",199406,10,10,10
"Annual District Death Extract",199407,10,10,10
"Annual District Death Extract",199408,10,10,10
"Annual District Death Extract",199409,10,10,10
"Annual District Death Extract",199411,10,10,10
"Annual District Death Extract",199412,10,10,10
"Annual District Death Extract",199501,10,10,10
"Annual District Death Extract",199502,10,10,10
"Annual District Death Extract",199503,15,10,10
"Annual District Death Extract",199504,10,10,10
"Annual District Death Extract",199505,20,10,10
"Annual District Death Extract",199506,15,10,10
"Annual District Death Extract",199507,40,10,10
"Annual District Death Extract",199508,35,10,10
"Annual District Death Extract",199509,50,10,10
"Annual District Death Extract",199510,85,10,10
"Annual District Death Extract",199511,135,10,10
"Annual District Death Extract",199512,740,10,10
"Annual District Death Extract",199601,3680,20,20
"Annual District Death Extract",199602,3050,25,25
"Annual District Death Extract",199603,2895,30,30
"Annual District Death Extract",199604,2725,20,20
"Annual District Death Extract",199605,2710,35,35
"Annual District Death Extract",199606,2630,45,45
"Annual District Death Extract",199607,2700,50,50
"Annual District Death Extract",199608,2570,65,65
"Annual District Death Extract",199609,2630,85,85
"Annual District Death Extract",199610,2755,120,120
"Annual District Death Extract",199611,2790,155,155
"Annual District Death Extract",199612,3550,290,290
"Annual District Death Extract",199701,4295,4050,4050
"Annual District Death Extract",199702,2915,2915,2915
"Annual District Death Extract",199703,2875,2875,2875
"Annual District Death Extract",199704,2770,2770,2770
"Annual District Death Extract",199705,2700,2700,2700
"Annual District Death Extract",199706,2650,2650,2650
"Annual District Death Extract",199707,2645,2645,2645
"Annual District Death Extract",199708,2605,2605,2605
"Annual District Death Extract",199709,2485,2485,2485
"Annual District Death Extract",199710,2795,2795,2795
"Annual District Death Extract",199711,2895,2895,2895
"Annual District Death Extract",199712,3105,3105,3105
"Annual District Death Extract",199801,3255,3255,3255
"Annual District Death Extract",199802,2765,2765,2765
"Annual District Death Extract",199803,3015,3015,3015
"Annual District Death Extract",199804,2930,2930,2930
"Annual District Death Extract",199805,2675,2675,2675
"Annual District Death Extract",199806,2610,2610,2610
"Annual District Death Extract",199807,2680,2675,2675
"Annual District Death Extract",199808,2590,2585,2585
"Annual District Death Extract",199809,2580,2580,2580
"Annual District Death Extract",199810,2835,2835,2835
"Annual District Death Extract",199811,2765,2765,2765
"Annual District Death Extract",199812,3400,3400,3400
"Annual District Death Extract",199901,4120,4120,4120
"Annual District Death Extract",199902,3025,3025,3025
"Annual District Death Extract",199903,3040,3040,3040
"Annual District Death Extract",199904,2800,2795,2795
"Annual District Death Extract",199905,2640,2640,2640
"Annual District Death Extract",199906,2600,2600,2600
"Annual District Death Extract",199907,2560,2560,2560
"Annual District Death Extract",199908,2575,2575,2575
"Annual District Death Extract",199909,2555,2555,2555
"Annual District Death Extract",199910,2685,2685,2685
"Annual District Death Extract",199911,2775,2775,2775
"Annual District Death Extract",199912,3760,3760,3760
"Annual District Death Extract",200001,4005,4005,4005
"Annual District Death Extract",200002,2750,2750,2750
"Annual District Death Extract",200003,2845,2845,2845
"Annual District Death Extract",200004,2690,2690,2690
"Annual District Death Extract",200005,2600,2595,2595
"Annual District Death Extract",200006,2615,2615,2615
"Annual District Death Extract",200007,2490,2490,2490
"Annual District Death Extract",200008,2500,2500,2500
"Annual District Death Extract",200009,2555,2555,2555
"Annual District Death Extract",200010,2645,2640,2640
"Annual District Death Extract",200011,2740,2740,2740
"Annual District Death Extract",200012,2995,2995,2995
"Annual District Death Extract",200101,3325,3325,3325
"Annual District Death Extract",200102,2775,2775,2775
"Annual District Death Extract",200103,3030,3030,3030
"Annual District Death Extract",200104,2825,2825,2825
"Annual District Death Extract",200105,2705,2705,2705
"Annual District Death Extract",200106,2495,2495,2495
"Annual District Death Extract",200107,2545,2545,2545
"Annual District Death Extract",200108,2510,2505,2505
"Annual District Death Extract",200109,2550,2550,2550
"Annual District Death Extract",200110,2705,2700,2700
"Annual District Death Extract",200111,2665,2665,2665
"Annual District Death Extract",200112,3005,3005,3005
"Annual District Death Extract",200201,3345,3345,3345
"Annual District Death Extract",200202,2745,2745,2745
"Annual District Death Extract",200203,2910,2910,2910
"Annual District Death Extract",200204,2795,2795,2795
"Annual District Death Extract",200205,2685,2685,2685
"Annual District Death Extract",200206,2490,2490,2490
"Annual District Death Extract",200207,2620,2615,2615
"Annual District Death Extract",200208,2565,2565,2565
"Annual District Death Extract",200209,2570,2570,2570
"Annual District Death Extract",200210,2680,2680,2680
"Annual District Death Extract",200211,2750,2750,2750
"Annual District Death Extract",200212,3180,3180,3180
"Annual District Death Extract",200301,3100,3100,3100
"Annual District Death Extract",200302,2810,2810,2810
"Annual District Death Extract",200303,3035,3030,3030
"Annual District Death Extract",200304,2975,2975,2975
"Annual District Death Extract",200305,2815,2815,2815
"Annual District Death Extract",200306,2570,2570,2570
"Annual District Death Extract",200307,2565,2565,2565
"Annual District Death Extract",200308,2565,2560,2560
"Annual District Death Extract",200309,2525,2525,2525
"Annual District Death Extract",200310,2710,2710,2710
"Annual District Death Extract",200311,3000,2995,2995
"Annual District Death Extract",200312,3200,3200,3200
"Annual District Death Extract",200401,3195,3195,3195
"Annual District Death Extract",200402,2740,2740,2740
"Annual District Death Extract",200403,2905,2905,2905
"Annual District Death Extract",200404,2650,2650,2650
"Annual District Death Extract",200405,2590,2590,2590
"Annual District Death Extract",200406,2450,2450,2450
"Annual District Death Extract",200407,2520,2515,2515
"Annual District Death Extract",200408,2505,2505,2505
"Annual District Death Extract",200409,2535,2535,2535
"Annual District Death Extract",200410,2720,2720,2720
"Annual District Death Extract",200411,2575,2575,2575
"Annual District Death Extract",200412,2950,2950,2950
"Annual District Death Extract",200501,3170,3170,3170
"Annual District Death Extract",200502,2860,2860,2860
"Annual District Death Extract",200503,3255,3255,3255
"Annual District Death Extract",200504,2700,2700,2700
"Annual District Death Extract",200505,2615,2615,2615
"Annual District Death Extract",200506,2510,2510,2510
"Annual District Death Extract",200507,2475,2475,2475
"Annual District Death Extract",200508,2380,2380,2380
"Annual District Death Extract",200509,2355,2350,2350
"Annual District Death Extract",200510,2520,2520,2520
"Annual District Death Extract",200511,2560,2555,2555
"Annual District Death Extract",200512,2975,2975,2975
"Annual District Death Extract",200601,2885,2880,2880
"Annual District Death Extract",200602,2735,2735,2735
"Annual District Death Extract",200603,2940,2935,2935
"Annual District Death Extract",200604,2690,2685,2685
"Annual District Death Extract",200605,2475,2470,2470
"Annual District Death Extract",200606,2455,2455,2455
"Annual District Death Extract",200607,2525,2525,2525
"Annual District Death Extract",200608,2415,2415,2415
"Annual District Death Extract",200609,2335,2335,2335
"Annual District Death Extract",200610,2440,2435,2435
"Annual District Death Extract",200611,2555,2555,2555
"Annual District Death Extract",200612,2740,2740,2740
"Annual District Death Extract",200701,3000,2995,2995
"Annual District Death Extract",200702,2900,2900,2900
"Annual District Death Extract",200703,2750,2750,2750
"Annual District Death Extract",200704,2705,2695,2695
"Annual District Death Extract",200705,2645,2645,2645
"Annual District Death Extract",200706,2435,2430,2430
"Annual District Death Extract",200707,2460,2460,2460
"Annual District Death Extract",200708,2470,2470,2470
"Annual District Death Extract",200709,2350,2345,2345
"Annual District Death Extract",200710,2600,2600,2600
"Annual District Death Extract",200711,2715,2715,2715
"Annual District Death Extract",200712,3000,3000,3000
"Annual District Death Extract",200801,2970,2970,2970
"Annual District Death Extract",200802,2685,2680,2680
"Annual District Death Extract",200803,2905,2900,2900
"Annual District Death Extract",200804,2720,2715,2715
"Annual District Death Extract",200805,2615,2615,2615
"Annual District Death Extract",200806,2270,2270,2270
"Annual District Death Extract",200807,2500,2500,2500
"Annual District Death Extract",200808,2335,2330,2330
"Annual District Death Extract",200809,2330,2325,2325
