dataset,BatchId,archived_on,n,n_id,n_id_distinct
nicor_congenital,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,54820,53545,37340
nicor_crm_eps,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,78650,78525,61005
nicor_crm_pmicd,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,350535,349915,299870
nicor_hf,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,225135,218515,167935
nicor_hf_v5,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,268925,268790,153790
nicor_minap,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,587425,581145,486860
nicor_pci,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,549715,539205,439795
nicor_tavi,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,29450,29420,28985
primary_care_meds,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,6379288050,5936322240,54568845
sgss,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,25624340,25624340,18187385
ssnap,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,755025,755025,410720
sus,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,4730918230,4669287810,14644505
vaccine_adverse_reactions,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,16195,16195,15835
vaccine_status,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,161331800,161331800,45344510
