dataset,BatchId,archived_on,n,n_id,n_id_distinct
mhs002gp,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,20655495,20654515,10810170
mhs003accommstatus,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,77220990,77220625,4282010
mhs004empstatus,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,69640775,69640465,3659090
mhs005patind,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,68618795,68618330,5699305
mhs006mhcarecoord,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,9494905,9494830,3377240
mhs007disabilitytype,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,27200765,27200480,1550030
mhs008careplantype,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,8088645,8088615,1944045
mhs009careplanagreement,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,3944150,3944135,856885
mhs010asstechtosupportdistyp,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,925,925,460
mhs011socpercircumstances,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,12197235,12197065,2747965
mhs012overseasvisitorchargcat,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,6834320,6834300,587355
mhs101referral,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,36833455,36832790,10182920
mhs102servicetypereferredto,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,36154375,36153820,9606260
mhs103otherreasonreferral,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,7085500,7085475,693985
mhs104rtt,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,3603480,3603480,569765
mhs105onwardreferral,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1563840,1563815,597225
mhs106dischargeplanagreement,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,174080,174080,114795
mhs201carecontact,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,217246015,217244110,8032110
mhs202careactivity,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,172120760,172119805,5817940
mhs203otherattend,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1960665,1960615,212320
mhs204indirectactivity,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,20042610,20042530,1949780
mhs301groupsession,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1142915,null,null
mhs302mhdropincontact,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,891765,null,null
mhs401mhactperiod,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1023060,1023020,353430
mhs402respclinicianassignperiod,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,754270,754255,219155
mhs403conditionaldischarge,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,259420,259420,4285
mhs404commtreatorder,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,843040,843040,30580
mhs405commtreatorderrecall,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1452565,1452565,10635
mhs501hospprovspell,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,962080,962050,452105
mhs502wardstay,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1724750,1724715,442825
mhs503assignedcareprof,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1400245,1400225,419780
mhs504delayeddischarge,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,53260,53260,39245
mhs505restrictiveinterventinc,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,348385,348375,33280
mhs506assault,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,166965,166960,46195
mhs507selfharm,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,492820,492820,34320
mhs509homeleave,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,368005,368005,95470
mhs510leaveofabsence,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,962500,962500,57485
mhs511absencewithoutleave,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,35730,35730,15680
mhs512hospspellcommassper,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,995070,995040,403265
mhs513substancemisuse,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,6025,6025,3670
mhs514trialleave,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,20110,20110,4085
mhs515restrictiveinterventtype,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,490210,490195,31345
mhs516policeassistancerequest,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,29820,29820,5165
mhs517smhexceptionalpackofcare,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,3800,3800,600
mhs601medhistprevdiag,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,101758885,101758655,986080
mhs603provdiag,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,2595300,2595270,759680
mhs604primdiag,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,5910425,5910355,1561600
mhs605secdiag,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,6553760,6553730,609125
mhs606codedscoreassessmentrefer,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,53222770,53222390,1760515
mhs607codedscoreassessmentact,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,85203510,85203205,1075965
mhs701cpacareepisode,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1883955,1883950,853670
mhs702cpareview,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,15111515,15111425,612390
mhs801clustertool,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,139707655,139707535,2945445
mhs802clusterassess,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,146348640,146348175,2402080
mhs803carecluster,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,9329140,9329115,2759440
mhs804fiveforensicpathways,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,14490,14485,3895
mhs901staffdetails,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,28533560,null,null
msds_v2_baby_activities_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,13265135,13265135,1917930
msds_v2_baby_demographics_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,2535660,2535660,2394455
msds_v2_baby_diagnoses_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1555295,1555295,470210
msds_v2_care_activities_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,191485705,191484735,2220900
msds_v2_coded_scored_assessments_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1927500,1927485,824745
msds_v2_demographics_booking_and_pregnancy_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,5337545,5337455,2671225
msds_v2_diagnoses_and_history_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,10397250,10397165,1619760
msds_v2_findings_and_observations_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,20263450,20263375,1384280
msds_v2_hospital_provider_spell_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1829765,1829750,659515
msds_v2_labour_activities_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,43396180,43395405,1767705
msds_v2_maternity_care_plan_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,16949400,16949310,2060950
nicor_acs_combined,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,203190,202305,194560
nicor_congenital,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,54820,53545,37340
nicor_crm_eps,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,78650,78525,61005
nicor_crm_pmicd,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,350535,349915,299870
nicor_hf,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,225135,218515,167935
nicor_hf_v5,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,268925,268790,153790
nicor_minap,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,587425,581145,486860
nicor_pci,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,549715,539205,439795
nicor_tavi,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,29450,29420,28985
primary_care_meds,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,6691947810,6235203295,55275560
sgss,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,25675770,25675770,18218065
ssnap,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,787660,787660,428565
sus,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,4730918230,4669287810,14644505
vaccine_adverse_reactions,9a5576ee-0081-459e-b294-923ffa9d2327,2024-02-27,16195,16195,15835
vaccine_status,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,161412755,161412755,45348835
