dataset,archived_on,n,n_id,n_id_distinct
mhsds_v6_mhs803carecluster,2025-07-28,9110375,9110350,2765275
mhsds_v6_mhs804fiveforensicpathways,2025-07-28,14690,14685,3900
mhsds_v6_mhs901staffdetails,2025-07-28,33644880,10,10
mhsds_v6_mhs902serviceteamdetails,2025-07-28,239760,10,10
mhsds_v6_mhs903warddetails,2025-07-28,33455,10,10
msds_v2_anonymous,2025-07-28,749545,10,10
msds_v2_baby_activities,2025-07-28,19804385,19804385,2539475
msds_v2_baby_demographics,2025-07-28,3285180,3285180,3057705
msds_v2_baby_diagnoses,2025-07-28,1937585,1937585,589085
msds_v2_care_activities,2025-07-28,295993780,295992635,2725300
msds_v2_coded_scored_assessments,2025-07-28,3085060,3085050,1130005
msds_v2_demographics_booking_and_pregnancy,2025-07-28,6992095,6991995,3151695
msds_v2_diagnoses_and_history,2025-07-28,16239075,16238960,2105370
msds_v2_findings_and_observations,2025-07-28,28001215,28001130,1792730
msds_v2_hospital_provider_spell,2025-07-28,2624085,2624070,861685
msds_v2_labour_activities,2025-07-28,68551710,68550925,2200225
msds_v2_maternity_care_plan,2025-07-28,29063880,29063770,2533405
nicor_acs_combined,2025-04-24,176400,175075,169310
nicor_congenital,2025-04-24,74010,72255,49370
nicor_crm_eps,2025-04-24,129540,129365,108615
nicor_crm_pmicd,2025-04-24,486325,486000,416250
nicor_hf,2025-04-24,225105,218520,167940
nicor_hf_v5,2025-04-24,320485,320345,247170
nicor_minap,2025-04-24,603075,596865,500205
nicor_pci,2025-04-24,615795,605385,489295
nicor_tavi,2025-04-24,43780,43725,42975
primary_care_meds,2025-07-28,8310946915,7800248570,58405770
sgss,2024-09-02,25637010,25637010,18218065
ssnap,2024-12-02,880165,880165,478285
sus,2022-09-30,4730918230,4669287810,14644505
token_pseudo_id_lookup,2025-07-28,515834775,515834775,515834775
vaccine_adverse_reactions,2025-07-28,16190,16190,15835
vaccine_status,2025-07-28,179627535,179627535,45414245
