dataset,BatchId,archived_on,n,n_id,n_id_distinct
lowlat_op_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,655641055,655640995,51361120
mhs001mpi,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,13234140,13233275,10936155
mhs002gp,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,20947380,20946340,10936215
mhs003accommstatus,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,79317210,79316825,4357750
mhs004empstatus,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,71384700,71384375,3709715
mhs005patind,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,71596855,71596360,5789195
mhs006mhcarecoord,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,9654205,9654130,3418235
mhs007disabilitytype,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,28483955,28483640,1650095
mhs008careplantype,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,8650485,8650440,2076315
mhs009careplanagreement,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,4401715,4401695,944685
mhs010asstechtosupportdistyp,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,975,975,495
mhs011socpercircumstances,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,12724275,12724090,2840985
mhs012overseasvisitorchargcat,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,7226815,7226795,616090
mhs101referral,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,37767775,37767060,10321095
mhs102servicetypereferredto,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,37076100,37075500,9730720
mhs103otherreasonreferral,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,7276795,7276770,711745
mhs104rtt,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,3726670,3726670,580470
mhs105onwardreferral,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,1591320,1591290,614930
mhs106dischargeplanagreement,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,175680,175680,115715
mhs201carecontact,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,222605540,222603395,8223460
mhs202careactivity,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,177829895,177828800,5975480
mhs203otherattend,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,2296565,2296515,217825
mhs204indirectactivity,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,20577195,20577095,2015955
mhs301groupsession,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,1169250,null,null
mhs302mhdropincontact,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,958680,null,null
mhs401mhactperiod,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,1046710,1046665,358890
mhs402respclinicianassignperiod,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,770960,770940,222305
mhs403conditionaldischarge,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,260040,260040,4415
mhs404commtreatorder,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,844420,844420,31000
mhs405commtreatorderrecall,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,1452805,1452805,10745
mhs501hospprovspell,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,980975,980935,459095
mhs502wardstay,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,1759320,1759280,449895
mhs503assignedcareprof,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,1424915,1424885,426210
mhs504delayeddischarge,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,55115,55115,40520
mhs505restrictiveinterventinc,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,391940,391930,36240
mhs506assault,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,170775,170770,47350
mhs507selfharm,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,508990,508990,35380
mhs509homeleave,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,376330,376330,97525
mhs510leaveofabsence,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,977680,977680,58335
mhs511absencewithoutleave,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,36525,36525,15960
mhs512hospspellcommassper,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,1016340,1016305,410090
mhs513substancemisuse,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,6260,6260,3810
mhs514trialleave,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,20385,20385,4185
mhs515restrictiveinterventtype,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,550235,550215,33905
mhs516policeassistancerequest,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,32975,32975,5685
mhs517smhexceptionalpackofcare,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,4040,4040,625
mhs601medhistprevdiag,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,104298980,104298745,999875
mhs603provdiag,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,2824170,2824135,774815
mhs604primdiag,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,6010540,6010465,1588020
mhs605secdiag,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,6586795,6586765,618505
mhs606codedscoreassessmentrefer,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,55184115,55183690,1835560
mhs607codedscoreassessmentact,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,88299795,88299480,1127300
mhs701cpacareepisode,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,1879090,1879080,861825
mhs702cpareview,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,15289995,15289910,616580
mhs801clustertool,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,140214975,140214860,2952230
mhs802clusterassess,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,145671770,145671295,2418450
mhs803carecluster,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,9110375,9110350,2765275
mhs804fiveforensicpathways,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,14690,14685,3900
mhs901staffdetails,aff661cd-2188-4a85-b53b-ff11518aaa5d,2024-07-09,29182480,null,null
msds_v2_baby_activities_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,16570245,16570245,2226230
msds_v2_baby_demographics_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,2910285,2910285,2710875
msds_v2_baby_diagnoses_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,1747530,1747530,531185
msds_v2_care_activities_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,241956010,241954925,2465790
msds_v2_coded_scored_assessments_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,2487485,2487470,979620
msds_v2_demographics_booking_and_pregnancy_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,6172400,6172305,2899150
msds_v2_diagnoses_and_history_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,13197850,13197750,1856435
msds_v2_findings_and_observations_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,24187290,24187205,1580515
msds_v2_hospital_provider_spell_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,2220995,2220985,758905
msds_v2_labour_activities_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,55390315,55389530,1986720
msds_v2_maternity_care_plan_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,22761615,22761515,2298595
nicor_acs_combined,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,203190,202305,194560
nicor_congenital,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,54820,53545,37340
nicor_crm_eps,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,78650,78525,61005
nicor_crm_pmicd,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,350535,349915,299870
nicor_hf,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,225135,218515,167935
nicor_hf_v5,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,268925,268790,153790
nicor_minap,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,587425,581145,486860
nicor_pci,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,549715,539205,439795
nicor_tavi,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,29450,29420,28985
primary_care_meds,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,7420724125,6932380825,56734070
sgss,a1dea5a8-3329-4149-8c7e-c6a4ff793360,2024-09-02,25637010,25637010,18218065
ssnap,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,869765,869765,472740
sus,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,4730918230,4669287810,14644505
vaccine_adverse_reactions,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,16195,16195,15835
vaccine_status,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,170589555,170589555,45371985
