Group,Dataset,Nation,Key,Description
NICOR CVD Audits,"PCI, MINAP, NHFA, NCHDA, NACRM, NACSA",England,Dataset available ,
NICOR CVD Audits,TAVI,England,Dataset requested,
Stroke Audit,SSNAP,England,Dataset available ,
National Vascular Registry,NVR,England,Dataset requested,
Other,Improving Access to Psychological Therapies (IAPT v2.0),England,Dataset available ,
Other,Maternity Services Data Set,England,Dataset requested,
Other,Mental Health Data Set,England,Dataset requested,
Other,Mental Health of Children and Young People,England,Dataset requested,
Other,Patient Reported Outcome Measures,England,Dataset requested,
Primary,Primary Care,Scotland,Dataset available ,
Secondary Care,Outpatient Appointments / Attendances - Scottish Morbidity Record (SMR00),Scotland,Dataset available ,The Outpatients (SMR00) dataset collects episode level data from patients on new and follow up appointments at outpatient clinics in all specialities (except A&E and Genito-Urinary Medicine). 
Secondary Care,General Acute Inpatient and Day Case - Scottish Morbidity Record (SMR01),Scotland,Dataset available ,The General / Acute and Inpatient Day Case dataset (SMR01) collects episode level data on hospital inpatient and day case discharges from acute specialities from hospitals in Scotland. 
Secondary Care,Accident & Emergency,Scotland,Dataset available ,
Covid-19 Lab Tests,COVID Tests (lab/lighthouse testing),Scotland,Dataset available ,"PCR, LFT and antigen tests, multiple tests per person. "
Covid-19 Lab Tests,(ECOSS),Scotland,Dataset available ,
Covid-19 Lab Tests,Variant strain data (COG-UK),Scotland,Dataset available ,"COG-UK works with the UK Public Health Agencies, Health Data Research UK and other partners to ensure COG-UK SARS-CoV-2 sequencing data is available in a number of trusted research environments to enable accredited researchers to link to externally held datasets"
Covid-19 Vaccinations,Vaccination Data,Scotland,Dataset available ,"A list of variables available in the Virtual Data Layer (VDL). Data is collected through the Vaccine Management Tool (VMT) app or GPIT systems (e.g. Turas, Vision) and fed into the VDL."
Deaths,Deaths,Scotland,Dataset available ,All Registrations to the National Records of Scotland of deaths - https://www.ndc.scot.nhs.uk/National-Datasets/data.asp?ID=3&SubID=13
ITU,"SICSAG Daily, Episodes",Scotland,Dataset available ,Each episode will consist of one or more days stay in critical care - a one to many relationship
Prescribing/Dispensing,"PIS: Dispensed, Prescribed, Paid",Scotland,Dataset available ,"The Prescribing Information System (PIS) is the definitive data source for all prescribing relating to all medicines and their costs that are prescribed and dispensed in the community in Scotland. Dispensing, which was paid on or after 01/01/15 to present. Prescriptions, which were paid on or after 01/01/15 to present. Paid on or after 01/01/15 to present."
Prescribing/Dispensing,ePrescribing,Scotland,Dataset requested,
Stroke Audit,Scottish Stroke Care Audit (SSCA),Scotland,Dataset available ,The Scottish Stroke Care Audit (SSCA) was established in 2002 and now includes all hospitals managing acute stroke in Scotland.
Other,Diabetes Covariates,Scotland,Dataset available ,
Other,Scottish Renal Registry,Scotland,Dataset available ,
Other,Maternity Inpatient and Day Case - Scottish Morbidity Record (SMR02),Scotland,Dataset requested,"The Maternity Inpatient and Day Case dataset (SMR02) collects episode level data every time a mother goes in for an obstetric event (this can be an antenatal, delivery or postnatal episode)."
Primary,General Practice Monthly/Daily COVID,Wales,Dataset available ,
Secondary Care,Critical Care Dataset,Wales,Dataset available ,
Secondary Care,Emergency Department Daily/Monthly,Wales,Dataset available ,
Secondary Care,Outpatient Dataset for Wales,Wales,Dataset available ,
Secondary Care,Outpatient Referral Dataset,Wales,Dataset available ,
Secondary Care,Patient Episode Dataset,Wales,Dataset available ,
Covid-19 Lab Tests,"LIMS (Pillar 1, 2, 3)",Wales,Dataset available ,
Covid-19 Lab Tests,ONS COVID-19 Infection Survey*,Wales,Dataset requested,
Covid-19 Lab Tests,"Test, Trace & Protect",Wales,Dataset available ,
Covid-19 Lab Tests,Shielded People,Wales,Dataset available ,
Covid-19 Lab Tests,Variant strain data (COG-UK)*,Wales,Dataset available ,
Covid-19 Vaccinations,Covid Vaccination Dataset,Wales,Dataset available ,
Deaths,Annual District Death Daily/Monthly,Wales,Dataset available ,
Deaths,Consolidated Death Data Source,Wales,Dataset available ,
ITU,ICNARC Quarterly/Weekly COVID,Wales,Dataset available ,
Prescribing/Dispensing,Wales Dispensing Dataset,Wales,Dataset available ,
NICOR CVD Audits,NICOR Audits and Registers (pending approvals),Wales,Dataset requested,
Stroke Audit,HQIP Stroke Audit (pending approvals),Wales,Dataset requested,
National Vascular Registry,NVR (pending approvals),Wales,Dataset requested,
Other,Annual District Birth Extract,Wales,Dataset available ,
Other,Care Homes Index,Wales,Dataset available ,
Other,Maternity Indicators Dataset,Wales,Dataset available ,
Other,Congenital Anomaly Register (CARIS),Wales,Dataset available ,
Other,National Community Child Health,Wales,Dataset available ,
Other,ONS Census (2011)*,Wales,Dataset available ,
Other,Referral to Treatment Times,Wales,Dataset available ,
Other,SAIL Dementia e-Cohort,Wales,Dataset available ,
Other,Welsh Ambulance Service Dataset,Wales,Dataset available ,
Other,Wales Results Reporting Service,Wales,Dataset available ,
Other,Welsh Demographic Service,Wales,Dataset available ,
,,,,
,,,,
