column_name,completeness,dataset
occupationtitle,0.298,covid_antigen_testing_pillar2
organisationid,0.51,covid_antigen_testing_pillar2
parliamentaryconstituency,1.0,covid_antigen_testing_pillar2
person_id_deid,1.0,covid_antigen_testing_pillar2
postcodecountry,0.999,covid_antigen_testing_pillar2
processinglabcode,1.0,covid_antigen_testing_pillar2
processtime,0.011,covid_antigen_testing_pillar2
recordcreateddate,1.0,covid_antigen_testing_pillar2
resultinfo,0.003,covid_antigen_testing_pillar2
samplecreationdate,0.056,covid_antigen_testing_pillar2
specimenid,1.0,covid_antigen_testing_pillar2
specimenprocesseddate,1.0,covid_antigen_testing_pillar2
stp,1.0,covid_antigen_testing_pillar2
subjectid,1.0,covid_antigen_testing_pillar2
testcentrecountry,0.157,covid_antigen_testing_pillar2
testcentrecountryname,0.061,covid_antigen_testing_pillar2
testcentreid,1.0,covid_antigen_testing_pillar2
testcentrerefdatapostcode,0.152,covid_antigen_testing_pillar2
testenddate,1.0,covid_antigen_testing_pillar2
testlocation,0.945,covid_antigen_testing_pillar2
testresult,1.0,covid_antigen_testing_pillar2
teststartdate,1.0,covid_antigen_testing_pillar2
testtype,0.983,covid_antigen_testing_pillar2
workorstudystatus,0.245,covid_antigen_testing_pillar2
workstatus,0.145,covid_antigen_testing_pillar2
CANCELLED_FLAG,1.0,deaths
CCGPOD,0.115,deaths
CCGR,0.149,deaths
COR_AREA_NAME,0.0,deaths
COR_INQ_DATES,0.0,deaths
CTYDR,0.808,deaths
CTYR,0.808,deaths
DEC_BIRTH_COUNTRY_CODE,1.0,deaths
DEC_CONF_NHS_NUMBER_CLEAN_DEID,0.992,deaths
DEC_OCC_TYPE,1.0,deaths
DEC_RETIRED_IND,0.233,deaths
GORR,0.67,deaths
HAUTPOD,0.562,deaths
HAUTR,0.704,deaths
HROR,0.704,deaths
ICD9_ORIG_MENTION_1,0.276,deaths
ICD9_ORIG_MENTION_10,0.0,deaths
ICD9_ORIG_MENTION_11,0.0,deaths
ICD9_ORIG_MENTION_12,0.0,deaths
ICD9_ORIG_MENTION_13,0.0,deaths
ICD9_ORIG_MENTION_14,0.0,deaths
ICD9_ORIG_MENTION_15,0.0,deaths
ICD9_ORIG_MENTION_2,0.207,deaths
ICD9_ORIG_MENTION_3,0.093,deaths
ICD9_ORIG_MENTION_4,0.033,deaths
ICD9_ORIG_MENTION_5,0.011,deaths
ICD9_ORIG_MENTION_6,0.004,deaths
ICD9_ORIG_MENTION_7,0.001,deaths
ICD9_ORIG_MENTION_8,0.0,deaths
ICD9_ORIG_MENTION_9,0.0,deaths
LSOAR,0.159,deaths
NEO_NATE_FLAG,0.193,deaths
OUT_SECCATDM,0.246,deaths
OUT_SECCATHF,0.129,deaths
PCDIND,0.274,deaths
POD_CODE,1.0,deaths
POD_ESTABLISHMENT_TYPE,0.763,deaths
POD_NHS_ESTABLISHMENT,0.763,deaths
REG_DATE,1.0,deaths
REG_DATE_OF_DEATH,1.0,deaths
REG_DISTRICT_CODE,1.0,deaths
REG_DISTRICT_NAME,0.997,deaths
REG_SUB_DISTRICT_CODE,1.0,deaths
REG_SUB_DISTRICT_NAME,0.81,deaths
SOC2KDM,0.239,deaths
SOC2KHF,0.12,deaths
S_COD_CODE_1,0.769,deaths
S_COD_CODE_10,0.001,deaths
S_COD_CODE_11,0.001,deaths
S_COD_CODE_12,0.0,deaths
S_COD_CODE_13,0.0,deaths
S_COD_CODE_14,0.0,deaths
S_COD_CODE_15,0.0,deaths
S_COD_CODE_2,0.59,deaths
S_COD_CODE_3,0.353,deaths
S_COD_CODE_4,0.185,deaths
S_COD_CODE_5,0.088,deaths
S_COD_CODE_6,0.039,deaths
S_COD_CODE_7,0.017,deaths
S_COD_CODE_8,0.007,deaths
S_COD_CODE_9,0.003,deaths
S_INJURY_EXTERNAL,0.035,deaths
S_UNDERLYING_COD_ICD10,0.769,deaths
S_UNDERLYING_COD_ICD9,0.276,deaths
UTLA9POD,0.075,deaths
UTLA9R,0.097,deaths
WARDR,0.808,deaths
administered_date_time,0.725,epma_administration
administration_id_hashed,1.0,epma_administration
last_updated_date,1.0,epma_administration
medication_name,1.0,epma_administration
nhs_number_deid,0.946,epma_administration
ods_code,1.0,epma_administration
patient_age,0.945,epma_administration
patient_gender,0.945,epma_administration
patient_gp_practice_ccg_ods_code,0.916,epma_administration
patient_gp_practice_la_district,0.921,epma_administration
patient_gp_practice_ods_code,0.921,epma_administration
patient_location_ccg_ods_code,0.929,epma_administration
patient_lsoa,0.927,epma_administration
prescription_id_hashed,0.957,epma_administration
reason_given_or_not_given,0.0,epma_administration
recorded_date_time,1.0,epma_administration
reported_date_time,1.0,epma_administration
scheduled_date_time,1.0,epma_administration
effective_from,1.0,epma_prescription
form,0.96,epma_prescription
group_type,0.186,epma_prescription
initial_authorised_date_time,1.0,epma_prescription
last_authorised_date_time,1.0,epma_prescription
link_from,0.117,epma_prescription
link_to,0.117,epma_prescription
medication_name,1.0,epma_prescription
nhs_number_deid,0.937,epma_prescription
ods_code,1.0,epma_prescription
order_id,1.0,epma_prescription
patient_age,0.936,epma_prescription
patient_gender,0.936,epma_prescription
patient_gp_practice_ccg_ods_code,0.924,epma_prescription
patient_gp_practice_la_district,0.927,epma_prescription
patient_gp_practice_ods_code,0.928,epma_prescription
patient_location_ccg_ods_code,0.923,epma_prescription
patient_lsoa,0.922,epma_prescription
prescription_id_hashed,1.0,epma_prescription
reported_date_time,1.0,epma_prescription
status,1.0,epma_prescription
type,1.0,epma_prescription
version,1.0,epma_prescription
code,1.0,gdppr
date,1.0,gdppr
episode_condition,0.044,gdppr
episode_prescription,0.172,gdppr
ethnic,0.401,gdppr
gp_system_supplier,1.0,gdppr
links,0.018,gdppr
lsoa,0.999,gdppr
nhs_number_deid,1.0,gdppr
practice,1.0,gdppr
processed_timestamp,1.0,gdppr
record_date,0.999,gdppr
reporting_period_end_date,1.0,gdppr
sex,1.0,gdppr
value1_condition,0.289,gdppr
value1_prescription,0.172,gdppr
value2_condition,0.011,gdppr
value2_prescription,0.287,gdppr
year_month_of_birth,1.0,gdppr
year_of_birth,1.0,gdppr
year_of_death,0.072,gdppr
AEARRIVALMODE,1.0,hes_ae_all_years
AEATTENDCAT,1.0,hes_ae_all_years
AEATTENDDISP,1.0,hes_ae_all_years
AEATTEND_EXC_PLANNED,1.0,hes_ae_all_years
AEDEPTTYPE,1.0,hes_ae_all_years
AEINCLOCTYPE,1.0,hes_ae_all_years
AEKEY,1.0,hes_ae_all_years
AEKEY_FLAG,1.0,hes_ae_all_years
AEPATGROUP,1.0,hes_ae_all_years
AEREFSOURCE,1.0,hes_ae_all_years
ARRIVALAGE,0.988,hes_ae_all_years
ARRIVALAGE_CALC,0.988,hes_ae_all_years
ARRIVALDATE,1.0,hes_ae_all_years
ARRIVALTIME,1.0,hes_ae_all_years
AT_GP_PRACTICE,0.719,hes_ae_all_years
AT_RESIDENCE,0.719,hes_ae_all_years
AT_TREATMENT,0.719,hes_ae_all_years
CANNET,0.843,hes_ae_all_years
CANREG,0.978,hes_ae_all_years
CCG_GP_PRACTICE,0.86,hes_ae_all_years
CCG_RESIDENCE,0.86,hes_ae_all_years
CCG_RESPONSIBILITY,0.86,hes_ae_all_years
CCG_RESPONSIBILITY_ORIGIN,0.86,hes_ae_all_years
CCG_TREATMENT,0.86,hes_ae_all_years
CCG_TREATMENT_ORIGIN,0.86,hes_ae_all_years
CONCLDUR,0.844,hes_ae_all_years
CONCLTIME,1.0,hes_ae_all_years
CR_GP_PRACTICE,0.86,hes_ae_all_years
CR_RESIDENCE,0.86,hes_ae_all_years
CR_TREATMENT,0.86,hes_ae_all_years
DEPDUR,0.992,hes_ae_all_years
DEPTIME,1.0,hes_ae_all_years
DIAG2_01,0.632,hes_ae_all_years
DIAG2_02,0.071,hes_ae_all_years
DIAG2_03,0.005,hes_ae_all_years
DIAG2_04,0.002,hes_ae_all_years
DIAG2_05,0.001,hes_ae_all_years
DIAG2_06,0.001,hes_ae_all_years
DIAG2_07,0.001,hes_ae_all_years
DIAG2_08,0.001,hes_ae_all_years
DIAG2_09,0.001,hes_ae_all_years
DIAG2_10,0.001,hes_ae_all_years
DIAG2_11,0.001,hes_ae_all_years
DIAG2_12,0.001,hes_ae_all_years
DIAG3_01,0.591,hes_ae_all_years
DIAG3_02,0.062,hes_ae_all_years
DIAG3_03,0.005,hes_ae_all_years
DIAG3_04,0.002,hes_ae_all_years
DIAG3_05,0.001,hes_ae_all_years
DIAG3_06,0.001,hes_ae_all_years
DIAG3_07,0.001,hes_ae_all_years
DIAG3_08,0.001,hes_ae_all_years
DIAG3_09,0.001,hes_ae_all_years
DIAG3_10,0.001,hes_ae_all_years
DIAG3_11,0.001,hes_ae_all_years
DIAG3_12,0.001,hes_ae_all_years
DIAGA_01,0.304,hes_ae_all_years
DIAGA_02,0.033,hes_ae_all_years
DIAGA_03,0.003,hes_ae_all_years
DIAGA_04,0.001,hes_ae_all_years
DIAGA_05,0.0,hes_ae_all_years
DIAGA_06,0.0,hes_ae_all_years
DIAGA_07,0.0,hes_ae_all_years
DIAGA_08,0.0,hes_ae_all_years
DIAGA_09,0.0,hes_ae_all_years
DIAGA_10,0.0,hes_ae_all_years
DIAGA_11,0.0,hes_ae_all_years
DIAGA_12,0.0,hes_ae_all_years
DIAGSCHEME,0.8,hes_ae_all_years
DIAGS_01,0.167,hes_ae_all_years
DIAGS_02,0.018,hes_ae_all_years
DIAGS_03,0.002,hes_ae_all_years
DIAGS_04,0.001,hes_ae_all_years
DIAGS_05,0.0,hes_ae_all_years
DIAGS_06,0.0,hes_ae_all_years
DIAGS_07,0.0,hes_ae_all_years
DIAGS_08,0.0,hes_ae_all_years
DIAGS_09,0.0,hes_ae_all_years
DIAGS_10,0.0,hes_ae_all_years
DIAGS_11,0.0,hes_ae_all_years
DIAGS_12,0.0,hes_ae_all_years
EPIKEY,0.134,hes_ae_all_years
ETHNOS,1.0,hes_ae_all_years
FYEAR,1.0,hes_ae_all_years
GORTREAT,1.0,hes_ae_all_years
GPPRAC,1.0,hes_ae_all_years
INITDUR,0.874,hes_ae_all_years
INITTIME,1.0,hes_ae_all_years
INVEST2_01,0.823,hes_ae_all_years
INVEST2_02,0.406,hes_ae_all_years
INVEST2_03,0.248,hes_ae_all_years
INVEST2_04,0.213,hes_ae_all_years
INVEST2_05,0.179,hes_ae_all_years
INVEST2_06,0.147,hes_ae_all_years
INVEST2_07,0.103,hes_ae_all_years
INVEST2_08,0.082,hes_ae_all_years
INVEST2_09,0.063,hes_ae_all_years
INVEST2_10,0.051,hes_ae_all_years
INVEST2_11,0.037,hes_ae_all_years
INVEST2_12,0.031,hes_ae_all_years
INVESTSCHEME,0.925,hes_ae_all_years
LSOA01,0.978,hes_ae_all_years
LSOA11,0.978,hes_ae_all_years
MSOA01,0.978,hes_ae_all_years
MSOA11,0.978,hes_ae_all_years
NER_GP_PRACTICE,0.557,hes_ae_all_years
NER_RESIDENCE,0.557,hes_ae_all_years
NER_TREATMENT,0.557,hes_ae_all_years
PARTYEAR,1.0,hes_ae_all_years
PCON,0.857,hes_ae_all_years
PCON_ONS,0.805,hes_ae_all_years
PCTCODE_HIS,0.859,hes_ae_all_years
PCTORIG_HIS,0.859,hes_ae_all_years
PCTTREAT,0.859,hes_ae_all_years
PERSON_ID_DEID,1.0,hes_ae_all_years
PROCODE3,1.0,hes_ae_all_years
PROCODE5,1.0,hes_ae_all_years
PROCODET,1.0,hes_ae_all_years
PROCSCHEME,0.164,hes_ae_all_years
PROVDIST,0.936,hes_ae_all_years
PROVDIST_FLAG,0.954,hes_ae_all_years
PURCODE,1.0,hes_ae_all_years
RANK_ORDER,0.111,hes_ae_all_years
RESCTY,0.859,hes_ae_all_years
RESCTY_ONS,0.805,hes_ae_all_years
RESGOR,0.859,hes_ae_all_years
RESGOR_ONS,0.805,hes_ae_all_years
RESLADST,0.859,hes_ae_all_years
RESLADST_ONS,0.805,hes_ae_all_years
RESPCT_HIS,0.859,hes_ae_all_years
RESSTHA_HIS,0.859,hes_ae_all_years
SEX,1.0,hes_ae_all_years
SITEDIST,0.38,hes_ae_all_years
SITEDIST_FLAG,0.388,hes_ae_all_years
SITETRET,0.397,hes_ae_all_years
STHATRET,0.859,hes_ae_all_years
SUSHRG,0.919,hes_ae_all_years
SUSLDDATE_HIS,0.859,hes_ae_all_years
TREAT2_01,0.839,hes_ae_all_years
TREAT2_02,0.493,hes_ae_all_years
TREAT2_03,0.229,hes_ae_all_years
TREAT2_04,0.131,hes_ae_all_years
TREAT2_05,0.076,hes_ae_all_years
TREAT2_06,0.046,hes_ae_all_years
TREAT2_07,0.026,hes_ae_all_years
TREAT2_08,0.018,hes_ae_all_years
TREAT2_09,0.014,hes_ae_all_years
TREAT2_10,0.012,hes_ae_all_years
TREAT2_11,0.008,hes_ae_all_years
TREAT2_12,0.007,hes_ae_all_years
TREAT3_01,0.835,hes_ae_all_years
TREAT3_02,0.49,hes_ae_all_years
TREAT3_03,0.229,hes_ae_all_years
TREAT3_04,0.131,hes_ae_all_years
TREAT3_05,0.076,hes_ae_all_years
TREAT3_06,0.046,hes_ae_all_years
TREAT3_07,0.026,hes_ae_all_years
TREAT3_08,0.018,hes_ae_all_years
TREAT3_09,0.014,hes_ae_all_years
TREAT3_10,0.012,hes_ae_all_years
TREAT3_11,0.008,hes_ae_all_years
TREAT3_12,0.007,hes_ae_all_years
TREATSCHEME,0.572,hes_ae_all_years
TRETDUR,0.898,hes_ae_all_years
TRETTIME,1.0,hes_ae_all_years
ACTIVAGE,0.94,hes_ae_otr_all_years
AEKEY,1.0,hes_ae_otr_all_years
APPDATE,0.337,hes_ae_otr_all_years
BOOKREFNOPS,0.0,hes_ae_otr_all_years
CARERSI,1.0,hes_ae_otr_all_years
CDSEXTDATE,0.663,hes_ae_otr_all_years
CDSUNIQUEID,0.0,hes_ae_otr_all_years
CDSVERPROTID,1.0,hes_ae_otr_all_years
CSNUM,0.836,hes_ae_otr_all_years
CURRWARD,0.859,hes_ae_otr_all_years
CURRWARD_ONS,0.806,hes_ae_otr_all_years
DIAG_01,0.631,hes_ae_otr_all_years
DIAG_02,0.071,hes_ae_otr_all_years
DIAG_03,0.005,hes_ae_otr_all_years
DIAG_04,0.002,hes_ae_otr_all_years
DIAG_05,0.001,hes_ae_otr_all_years
DIAG_06,0.001,hes_ae_otr_all_years
DIAG_07,0.001,hes_ae_otr_all_years
DIAG_08,0.001,hes_ae_otr_all_years
DIAG_09,0.001,hes_ae_otr_all_years
DIAG_10,0.001,hes_ae_otr_all_years
DIAG_11,0.001,hes_ae_otr_all_years
DIAG_12,0.001,hes_ae_otr_all_years
DOMPROC,0.005,hes_ae_otr_all_years
DUPLICATE_FLAG,0.277,hes_ae_otr_all_years
DUPLICATE_FLAG_2,0.0,hes_ae_otr_all_years
ETHRAW,0.79,hes_ae_otr_all_years
ETHRAWL,0.059,hes_ae_otr_all_years
FYEAR,1.0,hes_ae_otr_all_years
GPPRPCT,0.859,hes_ae_otr_all_years
GPPRSTHA,0.859,hes_ae_otr_all_years
HATREAT,0.859,hes_ae_otr_all_years
HOMEADDPS,0.0,hes_ae_otr_all_years
HRGNHS,0.26,hes_ae_otr_all_years
HRGNHSVN,0.277,hes_ae_otr_all_years
IMD04,0.974,hes_ae_otr_all_years
IMD04C,0.974,hes_ae_otr_all_years
IMD04ED,0.974,hes_ae_otr_all_years
IMD04EM,0.974,hes_ae_otr_all_years
IMD04HD,0.974,hes_ae_otr_all_years
IMD04HS,0.974,hes_ae_otr_all_years
IMD04I,0.974,hes_ae_otr_all_years
IMD04IA,0.974,hes_ae_otr_all_years
IMD04IC,0.974,hes_ae_otr_all_years
IMD04LE,0.974,hes_ae_otr_all_years
IMD04RK,0.974,hes_ae_otr_all_years
IMD04_DECILE,0.974,hes_ae_otr_all_years
INVEST_01,0.822,hes_ae_otr_all_years
INVEST_02,0.406,hes_ae_otr_all_years
INVEST_03,0.248,hes_ae_otr_all_years
INVEST_04,0.213,hes_ae_otr_all_years
INVEST_05,0.179,hes_ae_otr_all_years
INVEST_06,0.147,hes_ae_otr_all_years
INVEST_07,0.103,hes_ae_otr_all_years
INVEST_08,0.082,hes_ae_otr_all_years
INVEST_09,0.063,hes_ae_otr_all_years
INVEST_10,0.051,hes_ae_otr_all_years
INVEST_11,0.037,hes_ae_otr_all_years
INVEST_12,0.031,hes_ae_otr_all_years
LCAIND,0.0,hes_ae_otr_all_years
MARSTAT,0.0,hes_ae_otr_all_years
NEWNHSNO_CHECK,0.949,hes_ae_otr_all_years
NHSNOIND,0.994,hes_ae_otr_all_years
NODIAGS,1.0,hes_ae_otr_all_years
NOINVESTS,1.0,hes_ae_otr_all_years
NOTREATS,1.0,hes_ae_otr_all_years
OACODE6,0.859,hes_ae_otr_all_years
ORGPPPID,0.051,hes_ae_otr_all_years
PARTYEAR,1.0,hes_ae_otr_all_years
PCFOUND,1.0,hes_ae_otr_all_years
PCTCODE02,0.315,hes_ae_otr_all_years
PCTCODE06,0.859,hes_ae_otr_all_years
PCTNHS,0.976,hes_ae_otr_all_years
PCTORIG02,0.315,hes_ae_otr_all_years
PCTORIG06,0.859,hes_ae_otr_all_years
PEREND,0.663,hes_ae_otr_all_years
PERSON_ID_DEID,1.0,hes_ae_otr_all_years
PGPPRAC,1.0,hes_ae_otr_all_years
POSTDIST,0.992,hes_ae_otr_all_years
PREGGMP,1.0,hes_ae_otr_all_years
PROCODE,1.0,hes_ae_otr_all_years
PROCODEO,0.959,hes_ae_otr_all_years
PROTYPE,1.0,hes_ae_otr_all_years
PURSTHA,0.315,hes_ae_otr_all_years
PURVAL,1.0,hes_ae_otr_all_years
RESHA,0.859,hes_ae_otr_all_years
RESPCT02,0.315,hes_ae_otr_all_years
RESPCT06,0.859,hes_ae_otr_all_years
RESRO,0.859,hes_ae_otr_all_years
RESSTHA02,0.315,hes_ae_otr_all_years
RESSTHA06,0.859,hes_ae_otr_all_years
ROTREAT,0.859,hes_ae_otr_all_years
RTTPEREND,0.005,hes_ae_otr_all_years
RTTPERSTART,0.005,hes_ae_otr_all_years
RTTPERSTAT,0.051,hes_ae_otr_all_years
RURURB_IND,0.977,hes_ae_otr_all_years
SUBDATE,1.0,hes_ae_otr_all_years
SUSHRGINFO,0.103,hes_ae_otr_all_years
SUSHRGVERINFO,0.103,hes_ae_otr_all_years
SUSHRGVERS,0.913,hes_ae_otr_all_years
SUSLDDATE,1.0,hes_ae_otr_all_years
SUSRECID,1.0,hes_ae_otr_all_years
SUSSPELLID,0.937,hes_ae_otr_all_years
TREAT_01,0.838,hes_ae_otr_all_years
TREAT_02,0.493,hes_ae_otr_all_years
TREAT_03,0.229,hes_ae_otr_all_years
TREAT_04,0.131,hes_ae_otr_all_years
TREAT_05,0.076,hes_ae_otr_all_years
TREAT_06,0.046,hes_ae_otr_all_years
TREAT_07,0.026,hes_ae_otr_all_years
TREAT_08,0.018,hes_ae_otr_all_years
TREAT_09,0.014,hes_ae_otr_all_years
TREAT_10,0.012,hes_ae_otr_all_years
TREAT_11,0.008,hes_ae_otr_all_years
TREAT_12,0.007,hes_ae_otr_all_years
WAITDAYS,0.0,hes_ae_otr_all_years
WARD91,0.859,hes_ae_otr_all_years
ACPDISP_1,0.793,hes_apc_acp_all_years
ACPDISP_2,0.093,hes_apc_acp_all_years
ACPDISP_3,0.02,hes_apc_acp_all_years
ACPDISP_4,0.007,hes_apc_acp_all_years
ACPDISP_5,0.004,hes_apc_acp_all_years
ACPDISP_6,0.003,hes_apc_acp_all_years
ACPDISP_7,0.002,hes_apc_acp_all_years
ACPDISP_8,0.003,hes_apc_acp_all_years
ACPDISP_9,0.006,hes_apc_acp_all_years
ACPDQIND_1,0.41,hes_apc_acp_all_years
ACPDQIND_2,0.053,hes_apc_acp_all_years
ACPDQIND_3,0.012,hes_apc_acp_all_years
ACPDQIND_4,0.005,hes_apc_acp_all_years
ACPDQIND_5,0.003,hes_apc_acp_all_years
ACPDQIND_6,0.002,hes_apc_acp_all_years
ACPDQIND_7,0.002,hes_apc_acp_all_years
ACPDQIND_8,0.002,hes_apc_acp_all_years
ACPDQIND_9,0.001,hes_apc_acp_all_years
ACPEND_1,0.772,hes_apc_acp_all_years
ACPEND_2,0.09,hes_apc_acp_all_years
ACPEND_3,0.019,hes_apc_acp_all_years
ACPEND_4,0.007,hes_apc_acp_all_years
ACPEND_5,0.004,hes_apc_acp_all_years
ACPEND_6,0.003,hes_apc_acp_all_years
ACPEND_7,0.002,hes_apc_acp_all_years
ACPEND_8,0.003,hes_apc_acp_all_years
ACPEND_9,0.006,hes_apc_acp_all_years
ACPLOC_1,0.797,hes_apc_acp_all_years
ACPLOC_2,0.094,hes_apc_acp_all_years
ACPLOC_3,0.02,hes_apc_acp_all_years
ACPLOC_4,0.008,hes_apc_acp_all_years
ACPLOC_5,0.004,hes_apc_acp_all_years
ACPLOC_6,0.003,hes_apc_acp_all_years
ACPLOC_7,0.002,hes_apc_acp_all_years
ACPLOC_8,0.003,hes_apc_acp_all_years
ACPLOC_9,0.006,hes_apc_acp_all_years
ACPN_1,0.914,hes_apc_acp_all_years
ACPN_2,0.206,hes_apc_acp_all_years
ACPN_3,0.11,hes_apc_acp_all_years
ACPN_4,0.098,hes_apc_acp_all_years
ACPN_5,0.094,hes_apc_acp_all_years
ACPN_6,0.093,hes_apc_acp_all_years
ACPN_7,0.092,hes_apc_acp_all_years
ACPN_8,0.092,hes_apc_acp_all_years
ACPN_9,0.095,hes_apc_acp_all_years
ACPOUT_1,0.908,hes_apc_acp_all_years
ACPOUT_2,0.214,hes_apc_acp_all_years
ACPOUT_3,0.119,hes_apc_acp_all_years
ACPOUT_4,0.107,hes_apc_acp_all_years
ACPOUT_5,0.103,hes_apc_acp_all_years
ACPOUT_6,0.102,hes_apc_acp_all_years
ACPOUT_7,0.102,hes_apc_acp_all_years
ACPOUT_8,0.102,hes_apc_acp_all_years
ACPOUT_9,0.103,hes_apc_acp_all_years
ACPPLAN_1,0.848,hes_apc_acp_all_years
ACPPLAN_2,0.148,hes_apc_acp_all_years
ACPPLAN_3,0.053,hes_apc_acp_all_years
ACPPLAN_4,0.04,hes_apc_acp_all_years
ACPPLAN_5,0.037,hes_apc_acp_all_years
ACPPLAN_6,0.036,hes_apc_acp_all_years
ACPPLAN_7,0.035,hes_apc_acp_all_years
ACPPLAN_8,0.035,hes_apc_acp_all_years
ACPPLAN_9,0.039,hes_apc_acp_all_years
ACPSOUR_1,0.818,hes_apc_acp_all_years
ACPSOUR_2,0.125,hes_apc_acp_all_years
ACPSOUR_3,0.053,hes_apc_acp_all_years
ACPSOUR_4,0.041,hes_apc_acp_all_years
ACPSOUR_5,0.037,hes_apc_acp_all_years
ACPSOUR_6,0.036,hes_apc_acp_all_years
ACPSOUR_7,0.036,hes_apc_acp_all_years
ACPSOUR_8,0.036,hes_apc_acp_all_years
ACPSOUR_9,0.039,hes_apc_acp_all_years
ACPSPEF_1,0.85,hes_apc_acp_all_years
ACPSPEF_2,0.148,hes_apc_acp_all_years
